time,open,high,low,close
2009-12-28T00:00:00+02:00,2.95,2.95,2.95,2.95
2010-01-04T00:00:00+02:00,2.95,2.97,2.88,2.89
2010-01-11T00:00:00+02:00,2.89,2.92,2.82,2.86
2010-01-18T00:00:00+02:00,2.86,2.95,2.85,2.94
2010-01-25T00:00:00+02:00,2.93,2.97,2.9,2.96
2010-02-01T00:00:00+02:00,2.96,3.05,2.92,3.03
2010-02-08T00:00:00+02:00,3.03,3.05,2.98,3.03
2010-02-15T00:00:00+02:00,3.04,3.07,2.98,3.04
2010-02-22T00:00:00+02:00,3.04,3.07,3,3.01
2010-03-01T00:00:00+02:00,3.02,3.06,2.98,3
2010-03-08T00:00:00+02:00,3,3.03,2.97,2.97
2010-03-14T23:00:00+02:00,2.97,3.02,2.96,3.02
2010-03-21T23:00:00+02:00,3.01,3.06,3,3.04
2010-03-29T00:00:00+03:00,3.02,3.05,3.01,3.04
2010-04-05T00:00:00+03:00,3.04,3.1,3.03,3.06
2010-04-12T00:00:00+03:00,3.03,3.08,3.02,3.07
2010-04-19T00:00:00+03:00,3.08,3.14,3.07,3.08
2010-04-26T00:00:00+03:00,3.09,3.16,3.07,3.11
2010-05-03T00:00:00+03:00,3.1,3.35,3.1,3.29
2010-05-10T00:00:00+03:00,3.25,3.39,3.17,3.39
2010-05-17T00:00:00+03:00,3.39,3.46,3.32,3.34
2010-05-24T00:00:00+03:00,3.34,3.44,3.34,3.4
2010-05-31T00:00:00+03:00,3.4,3.52,3.38,3.52
2010-06-07T00:00:00+03:00,3.53,3.56,3.47,3.49
2010-06-14T00:00:00+03:00,3.49,3.49,3.41,3.42
2010-06-21T00:00:00+03:00,3.41,3.49,3.38,3.46
2010-06-28T00:00:00+03:00,3.45,3.62,3.41,3.42
2010-07-05T00:00:00+03:00,3.42,3.43,3.33,3.35
2010-07-12T00:00:00+03:00,3.35,3.4,3.28,3.3
2010-07-19T00:00:00+03:00,3.31,3.35,3.27,3.3
2010-07-26T00:00:00+03:00,3.31,3.31,3.24,3.26
2010-08-02T00:00:00+03:00,3.25,3.26,3.18,3.2
2010-08-09T00:00:00+03:00,3.19,3.32,3.18,3.32
2010-08-16T00:00:00+03:00,3.32,3.34,3.27,3.32
2010-08-23T00:00:00+03:00,3.33,3.37,3.31,3.33
2010-08-30T00:00:00+03:00,3.33,3.37,3.32,3.32
2010-09-06T00:00:00+03:00,3.32,3.39,3.3,3.37
2010-09-13T00:00:00+03:00,3.36,3.36,3.23,3.26
2010-09-20T00:00:00+03:00,3.26,3.27,3.14,3.15
2010-09-27T00:00:00+03:00,3.15,3.19,3.09,3.09
2010-10-04T00:00:00+03:00,3.09,3.13,3.04,3.06
2010-10-11T00:00:00+03:00,3.05,3.1,3.02,3.06
2010-10-18T00:00:00+03:00,3.06,3.14,3.06,3.08
2010-10-25T00:00:00+03:00,3.08,3.11,3.03,3.06
2010-10-31T23:00:00+02:00,3.06,3.09,3,3.06
