time,open,high,low,close
1997-08-18T01:00:00+03:00,1,1,1,1
1997-08-25T01:00:00+03:00,1,1,1,1
1997-09-01T01:00:00+03:00,1,1,1,1
1998-11-02T00:00:00+02:00,1,1,1,1
1998-11-09T00:00:00+02:00,1,1,1,1
1998-11-16T00:00:00+02:00,1,1,1,1
1998-11-23T00:00:00+02:00,1,1,1,1
1998-11-30T00:00:00+02:00,1,1,1,1
1998-12-07T00:00:00+02:00,1,1,1,1
1998-12-14T00:00:00+02:00,1,1,1,1
1998-12-21T00:00:00+02:00,1,1,1,1
1998-12-28T00:00:00+02:00,1,1,1,1
1999-01-04T00:00:00+02:00,0.998,1,0.998,0.998
1999-01-11T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-01-18T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-01-25T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-02-01T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-02-08T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-02-15T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-02-22T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-03-01T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-03-08T00:00:00+02:00,0.998,0.998,0.998,0.998
1999-03-15T00:00:00+02:00,0.998,0.998,0.995,0.998
1999-03-22T00:00:00+02:00,0.998,1,0.995,1
1999-03-29T01:00:00+03:00,0.998,1,0.995,0.995
1999-04-05T01:00:00+03:00,0.998,1,0.995,0.998
1999-04-12T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-04-19T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-04-26T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-05-03T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-05-10T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-05-17T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-05-24T01:00:00+03:00,0.998,0.998,0.998,0.998
1999-05-31T01:00:00+03:00,0.998,1,0.995,0.995
1999-06-07T01:00:00+03:00,0.998,1,0.995,0.995
1999-06-14T01:00:00+03:00,1,1,0.995,0.995
1999-06-21T01:00:00+03:00,1,1,0.995,1
1999-06-28T01:00:00+03:00,0.998,1,0.995,1
1999-07-05T01:00:00+03:00,1,1,0.995,0.995
1999-07-12T01:00:00+03:00,1,1,0.995,0.998
1999-07-19T01:00:00+03:00,0.998,1,0.995,0.995
1999-07-26T01:00:00+03:00,1,1,0.995,0.995
1999-08-02T01:00:00+03:00,0.995,1,0.995,0.995
1999-08-09T01:00:00+03:00,0.998,1,0.995,1
