time,open,high,low,close
2006-01-02T00:00:00+02:00,0.9179,0.9179,0.9179,0.9179
2006-01-09T00:00:00+02:00,0.9177,0.9177,0.9173,0.9173
2006-01-16T00:00:00+02:00,0.9169,0.9169,0.9163,0.9165
2006-01-23T00:00:00+02:00,0.9159,0.9159,0.9155,0.9155
2006-01-30T00:00:00+02:00,0.9141,0.9145,0.9141,0.9145
2006-02-06T00:00:00+02:00,0.9143,0.9143,0.9137,0.9137
2006-02-13T00:00:00+02:00,0.9135,0.9135,0.9133,0.9135
2006-02-20T00:00:00+02:00,0.9131,0.9131,0.9128,0.9128
2006-02-27T00:00:00+02:00,0.9125,0.9125,0.9119,0.9119
2006-03-06T00:00:00+02:00,0.9115,0.9115,0.9111,0.9111
2006-03-13T00:00:00+02:00,0.9105,0.9105,0.9099,0.9099
2006-03-20T00:00:00+02:00,0.9099,0.9099,0.9095,0.9095
2006-03-27T01:00:00+03:00,0.9092,0.9092,0.9085,0.9085
2006-04-03T01:00:00+03:00,0.9082,0.9082,0.9078,0.9078
2006-04-10T01:00:00+03:00,0.9075,0.9075,0.9053,0.9053
2006-04-17T01:00:00+03:00,0.9045,0.9045,0.9038,0.9039
2006-04-24T01:00:00+03:00,0.9033,0.9035,0.9031,0.9031
2006-05-01T01:00:00+03:00,0.9027,0.9027,0.9023,0.9024
2006-05-08T01:00:00+03:00,0.9017,0.9017,0.9013,0.9013
2006-05-15T01:00:00+03:00,0.9011,0.9011,0.9005,0.9005
2006-05-22T01:00:00+03:00,0.8995,0.8995,0.8995,0.8995
2006-05-29T01:00:00+03:00,0.8983,0.8983,0.8983,0.8983
2006-06-05T01:00:00+03:00,0.8969,0.8969,0.8969,0.8969
2006-06-12T01:00:00+03:00,0.8963,0.8963,0.8963,0.8963
2006-06-19T01:00:00+03:00,0.8955,0.8955,0.8955,0.8955
2006-06-26T01:00:00+03:00,0.8951,0.8951,0.8951,0.8951
2006-07-03T01:00:00+03:00,0.8936,0.8936,0.8936,0.8936
2006-07-10T01:00:00+03:00,0.9179,0.9179,0.8912,0.8912
2006-07-17T01:00:00+03:00,0.8883,0.8883,0.8883,0.8883
2006-08-14T01:00:00+03:00,0.8847,0.8847,0.8847,0.8847
2006-08-21T01:00:00+03:00,0.8828,0.8828,0.8828,0.8828
2006-08-28T01:00:00+03:00,0.8808,0.8808,0.8808,0.8808
2006-09-04T01:00:00+03:00,0.8794,0.8794,0.8794,0.8794
2006-09-18T01:00:00+03:00,0.8762,0.8762,0.8762,0.8762
2006-09-25T01:00:00+03:00,0.8755,0.8755,0.8755,0.8755
2006-10-02T01:00:00+03:00,0.8747,0.8747,0.8747,0.8747
2006-10-09T01:00:00+03:00,0.8738,0.8738,0.8738,0.8738
2006-10-16T01:00:00+03:00,0.8733,0.8733,0.8731,0.8731
2006-10-23T01:00:00+03:00,0.873,0.873,0.873,0.873
2006-10-30T00:00:00+02:00,0.8726,0.8726,0.8726,0.8726
2006-11-06T00:00:00+02:00,0.8724,0.8734,0.8724,0.8724
2006-11-13T00:00:00+02:00,0.8722,0.8732,0.8721,0.8721
2006-11-20T00:00:00+02:00,0.872,0.873,0.8718,0.8719
2006-11-27T00:00:00+02:00,0.8718,0.8729,0.8718,0.8719
2006-12-04T00:00:00+02:00,0.8718,0.8728,0.8717,0.8717
2006-12-11T00:00:00+02:00,0.8716,0.8726,0.8715,0.8715
2006-12-18T00:00:00+02:00,0.8713,0.8723,0.8712,0.8712
2006-12-25T00:00:00+02:00,0.8711,0.8721,0.871,0.871
2007-01-08T00:00:00+02:00,0.8709,0.8719,0.8709,0.8709
2007-01-15T00:00:00+02:00,0.8709,0.8719,0.8707,0.8707
2007-01-22T00:00:00+02:00,0.8707,0.8745,0.8706,0.874
2007-01-29T00:00:00+02:00,0.8704,0.8746,0.87,0.8716
2007-02-05T00:00:00+02:00,0.8698,0.8746,0.8694,0.8711
2007-02-12T00:00:00+02:00,0.8737,0.8737,0.8691,0.8731
