time,open,high,low,close
1995-01-02T00:00:00+02:00,0.844,0.845,0.84,0.84
1995-01-09T00:00:00+02:00,0.844,0.851,0.844,0.847
1995-01-16T00:00:00+02:00,0.847,0.848,0.846,0.848
1995-01-23T00:00:00+02:00,0.85,0.851,0.844,0.844
1995-01-30T00:00:00+02:00,0.846,0.846,0.839,0.839
1995-02-06T00:00:00+02:00,0.836,0.836,0.833,0.834
1995-02-13T00:00:00+02:00,0.832,0.839,0.832,0.839
1995-02-20T00:00:00+02:00,0.841,0.848,0.839,0.844
1995-02-27T00:00:00+02:00,0.851,0.852,0.849,0.852
1995-03-06T00:00:00+02:00,0.866,0.898,0.866,0.887
1995-03-13T00:00:00+02:00,0.881,0.892,0.879,0.891
1995-03-20T00:00:00+02:00,0.913,0.913,0.906,0.9065
1995-03-27T01:00:00+03:00,0.91,0.91,0.895,0.895
1995-04-03T01:00:00+03:00,0.904,0.906,0.893,0.893
1995-04-10T01:00:00+03:00,0.895,0.907,0.895,0.906
1995-04-17T01:00:00+03:00,0.905,0.9111,0.905,0.9111
1995-04-24T01:00:00+03:00,0.913,0.919,0.913,0.918
1995-05-01T01:00:00+03:00,0.918,0.918,0.9,0.9
1995-05-08T01:00:00+03:00,0.898,0.9,0.893,0.894
1995-05-15T01:00:00+03:00,0.889,0.889,0.887,0.887
1995-05-22T01:00:00+03:00,0.889,0.892,0.886,0.892
1995-05-29T01:00:00+03:00,0.895,0.907,0.895,0.907
1995-06-05T01:00:00+03:00,0.903,0.911,0.903,0.911
1995-06-12T01:00:00+03:00,0.919,0.919,0.904,0.904
1995-06-19T01:00:00+03:00,0.912,0.918,0.909,0.918
1995-06-26T01:00:00+03:00,0.918,0.9185,0.916,0.9185
1995-07-03T01:00:00+03:00,0.92,0.92,0.919,0.919
1995-07-10T01:00:00+03:00,0.925,0.925,0.919,0.919
1995-07-17T01:00:00+03:00,0.929,0.929,0.9275,0.928
1995-07-24T01:00:00+03:00,0.9332,0.9358,0.933,0.9358
1995-07-31T01:00:00+03:00,0.9353,0.9353,0.9345,0.935
1995-08-07T01:00:00+03:00,0.9351,0.9355,0.9349,0.9349
1995-08-14T01:00:00+03:00,0.9411,0.9414,0.9409,0.9414
1995-08-21T01:00:00+03:00,0.9413,0.9464,0.941,0.9464
1995-08-28T01:00:00+03:00,0.948,0.951,0.948,0.9496
1995-09-04T01:00:00+03:00,0.9493,0.9493,0.9493,0.9493
1995-09-11T01:00:00+03:00,0.9513,0.9523,0.9493,0.9514
1995-09-18T01:00:00+03:00,0.9517,0.9525,0.9515,0.9525
1995-09-25T00:00:00+02:00,0.9533,0.9547,0.953,0.9534
1995-10-02T00:00:00+02:00,0.9531,0.958,0.9531,0.9579
1995-10-09T00:00:00+02:00,0.9586,0.9586,0.9586,0.9586
1995-10-16T00:00:00+02:00,0.9585,0.9586,0.9582,0.9582
1995-10-23T00:00:00+02:00,0.9612,0.9621,0.9609,0.9621
1995-10-30T00:00:00+02:00,0.9613,0.9622,0.9609,0.962
1995-11-06T00:00:00+02:00,0.9618,0.9618,0.9609,0.961
1995-11-13T00:00:00+02:00,0.9619,0.9625,0.9619,0.962
1995-11-20T00:00:00+02:00,0.9625,0.9646,0.961,0.9643
1995-11-27T00:00:00+02:00,0.9645,0.9661,0.9641,0.9661
1995-12-04T00:00:00+02:00,0.9665,0.9665,0.9662,0.9663
1995-12-11T00:00:00+02:00,0.9665,0.9668,0.9662,0.9668
1995-12-18T00:00:00+02:00,0.9676,0.9698,0.9672,0.9698
1995-12-25T00:00:00+02:00,0.9691,0.9722,0.9691,0.9722
1996-01-01T00:00:00+02:00,0.972,0.9728,0.972,0.9722
1996-01-08T00:00:00+02:00,0.9721,0.9727,0.9721,0.9727
1996-01-15T00:00:00+02:00,0.9722,0.9723,0.9721,0.9723
1996-01-22T00:00:00+02:00,0.9742,0.9766,0.9742,0.9763
1996-01-29T00:00:00+02:00,0.978,0.9785,0.978,0.9782
1996-02-05T00:00:00+02:00,0.9783,0.9783,0.9782,0.9782
1996-02-12T00:00:00+02:00,0.9784,0.9839,0.9784,0.9839
1996-02-19T00:00:00+02:00,0.9843,0.9843,0.9819,0.9819
1996-02-26T00:00:00+02:00,0.9831,0.9848,0.9831,0.9848
1996-03-04T00:00:00+02:00,0.9833,0.9842,0.9832,0.9842
1996-03-11T00:00:00+02:00,0.9838,0.9843,0.9833,0.9833
1996-03-18T00:00:00+02:00,0.9861,0.9878,0.9861,0.9878
1996-03-25T00:00:00+02:00,0.9878,0.9878,0.985,0.985
1996-04-01T01:00:00+03:00,0.9873,0.9873,0.985,0.9865
1996-04-08T01:00:00+03:00,0.9871,0.9871,0.985,0.985
1996-04-15T01:00:00+03:00,0.9898,0.9898,0.985,0.985
1996-04-22T01:00:00+03:00,0.9913,0.9913,0.985,0.9913
1996-04-29T01:00:00+03:00,0.9922,0.9922,0.9912,0.9912
1996-05-06T01:00:00+03:00,0.9923,0.9925,0.9875,0.9905
1996-05-13T01:00:00+03:00,0.9945,0.9955,0.9875,0.9955
1996-05-20T01:00:00+03:00,0.9965,1.0095,0.9958,1.0095
1996-05-27T01:00:00+03:00,1.0095,1.015,1.0095,1.015
1996-06-03T01:00:00+03:00,0.9982,1.018,0.9982,1.018
1996-06-10T01:00:00+03:00,0.9995,1.022,0.9995,1.022
1996-06-17T01:00:00+03:00,1.0015,1.01,0.9888,1.01
1996-06-24T01:00:00+03:00,1.003,1.01,0.9975,1.006
1996-07-01T01:00:00+03:00,1.005,1.015,1.0047,1.0047
1996-07-08T01:00:00+03:00,1.005,1.016,1.0047,1.016
1996-07-15T01:00:00+03:00,1.0075,1.018,1.0047,1.018
1996-07-22T01:00:00+03:00,1.0074,1.018,1.0074,1.01
1996-07-29T01:00:00+03:00,1.0103,1.024,1.0103,1.024
1996-08-05T01:00:00+03:00,1.0092,1.0205,1.0092,1.0205
1996-08-12T01:00:00+03:00,1.012,1.0128,1.0112,1.0128
1996-08-19T01:00:00+03:00,1.0133,1.0168,1.0133,1.0168
1996-08-26T01:00:00+03:00,1.0205,1.0205,1.0158,1.017
1996-09-02T01:00:00+03:00,1.017,1.017,1.002,1.0158
1996-09-09T01:00:00+03:00,1.0192,1.0199,1.0158,1.017
1996-09-16T01:00:00+03:00,1.019,1.0215,1.017,1.0215
1996-09-23T01:00:00+03:00,1.0199,1.032,1.0199,1.032
1996-09-30T01:00:00+03:00,1.0211,1.031,1.0203,1.031
1996-10-07T01:00:00+03:00,1.028,1.031,1.027,1.0305
1996-10-14T01:00:00+03:00,1.0255,1.0335,1.0225,1.0225
1996-10-21T01:00:00+03:00,1.0258,1.066,1.025,1.025
1996-10-28T00:00:00+02:00,1.0284,1.075,1.0263,1.0375
1996-11-04T00:00:00+02:00,1.0277,1.05,1.0277,1.05
1996-11-11T00:00:00+02:00,1.0501,1.0501,1.042,1.042
1996-11-18T00:00:00+02:00,1.0301,1.0465,1.0301,1.0436
1996-11-25T00:00:00+02:00,1.0432,1.049,1.031,1.0324
1996-12-02T00:00:00+02:00,1.0308,1.0435,1.0308,1.033
1996-12-09T00:00:00+02:00,1.0347,1.041,1.0346,1.041
1996-12-16T00:00:00+02:00,1.0395,1.054,1.035,1.0375
1996-12-23T00:00:00+02:00,1.0385,1.0535,1.0385,1.0525
1996-12-30T00:00:00+02:00,1.039,1.0393,1.039,1.0392
1997-01-06T00:00:00+02:00,1.0405,1.052,1.04,1.052
1997-01-13T00:00:00+02:00,1.0417,1.054,1.0417,1.0425
1997-01-20T00:00:00+02:00,1.0425,1.0543,1.041,1.0543
1997-01-27T00:00:00+02:00,1.0438,1.056,1.0436,1.056
1997-02-03T00:00:00+02:00,1.045,1.0485,1.04,1.0455
1997-02-10T00:00:00+02:00,1.0473,1.056,1.0455,1.0471
1997-02-17T00:00:00+02:00,1.044,1.0599,1.044,1.0486
1997-02-24T00:00:00+02:00,1.0503,1.0601,1.0475,1.0517
1997-03-03T00:00:00+02:00,1.0511,1.0626,1.0475,1.05
1997-03-10T00:00:00+02:00,1.0528,1.0603,1.05,1.0515
1997-03-17T00:00:00+02:00,1.0593,1.0611,1.056,1.056
1997-03-24T00:00:00+02:00,1.0616,1.0692,1.055,1.055
1997-03-31T01:00:00+03:00,1.0595,1.0694,1.053,1.0694
1997-04-07T01:00:00+03:00,1.0582,1.0701,1.0581,1.0701
1997-04-14T01:00:00+03:00,1.0599,1.0706,1.0599,1.0706
1997-04-21T01:00:00+03:00,1.062,1.0662,1.0612,1.0662
1997-04-28T01:00:00+03:00,1.0627,1.0662,1.0618,1.0618
1997-05-05T01:00:00+03:00,1.0644,1.0652,1.0621,1.0652
1997-05-12T01:00:00+03:00,1.0676,1.0676,1.0625,1.0657
1997-05-19T01:00:00+03:00,1.0674,1.0705,1.0661,1.0705
1997-05-26T01:00:00+03:00,1.0705,1.0723,1.0705,1.0723
1997-06-02T01:00:00+03:00,1.071,1.0725,1.0663,1.069
1997-06-09T01:00:00+03:00,1.0726,1.073,1.069,1.0725
1997-06-16T01:00:00+03:00,1.065,1.0795,1.065,1.0795
1997-06-23T01:00:00+03:00,1.065,1.078,1.065,1.065
1997-06-30T01:00:00+03:00,1.065,1.08,1.065,1.08
1997-07-07T01:00:00+03:00,1.08,1.08,1.0763,1.08
1997-07-14T01:00:00+03:00,1.08,1.0811,1.08,1.0811
1997-07-21T01:00:00+03:00,1.08,1.08,1.08,1.08
1997-07-28T01:00:00+03:00,1.08,1.083,1.08,1.083
1997-08-04T01:00:00+03:00,1.08,1.0834,1.08,1.0834
1997-08-11T01:00:00+03:00,1.08,1.0835,1.08,1.08
1997-08-18T01:00:00+03:00,1.0865,1.0925,1.08,1.0905
1997-08-25T01:00:00+03:00,1.092,1.0925,1.089,1.089
1997-09-01T01:00:00+03:00,1.0925,1.0925,1.0895,1.0895
1997-09-08T01:00:00+03:00,1.0915,1.0916,1.0908,1.0916
1997-09-15T01:00:00+03:00,1.092,1.0934,1.0895,1.0934
1997-09-22T01:00:00+03:00,1.0942,1.095,1.0885,1.095
1997-09-29T01:00:00+03:00,1.0955,1.0962,1.0915,1.0962
1997-10-06T01:00:00+03:00,1.0965,1.0975,1.0915,1.0975
1997-10-13T01:00:00+03:00,1.0975,1.099,1.0975,1.099
1997-10-20T01:00:00+03:00,1.0899,1.1005,1.0899,1.1005
1997-10-27T00:00:00+02:00,1.0975,1.1073,1.0975,1.105
1997-11-03T00:00:00+02:00,1.103,1.103,1.1015,1.1025
1997-11-10T00:00:00+02:00,1.1058,1.108,1.1025,1.108
1997-11-17T00:00:00+02:00,1.1074,1.1088,1.1061,1.1088
1997-11-24T00:00:00+02:00,1.099,1.1098,1.099,1.1098
1997-12-01T00:00:00+02:00,1.1065,1.11,1.0985,1.11
1997-12-08T00:00:00+02:00,1.1107,1.111,1.1105,1.111
1997-12-15T00:00:00+02:00,1.1085,1.115,1.1085,1.115
1997-12-22T00:00:00+02:00,1.111,1.116,1.111,1.111
