time,open,high,low,close
1997-08-18T01:00:00+03:00,1129,1154,1117,1154
1997-08-25T01:00:00+03:00,1147,1160,1140,1140
1997-09-01T01:00:00+03:00,1172.3,1172.3,1172.3,1172.3
1997-09-15T01:00:00+03:00,1237,1237,1237,1237
1997-09-22T01:00:00+03:00,1210,1245.5,1210,1245.5
1997-09-29T01:00:00+03:00,1213,1242,1213,1242
1997-10-27T00:00:00+02:00,1275,1275,1250,1250
1997-11-03T00:00:00+02:00,1283.55,1283.55,1283.55,1283.55
1997-11-17T00:00:00+02:00,1297.5,1297.5,1297.5,1297.5
1997-11-24T00:00:00+02:00,1303.8,1303.8,1303.8,1303.8
1997-12-01T00:00:00+02:00,1285,1300.5,1285,1300.5
1997-12-15T00:00:00+02:00,1287,1287,1287,1287
1997-12-29T00:00:00+02:00,1289.5,1289.5,1289.5,1289.5
1998-01-05T00:00:00+02:00,1316.4,1316.4,1315.35,1315.35
1998-01-12T00:00:00+02:00,1317,1318.5,1317,1318.5
1998-01-19T00:00:00+02:00,1326,1334.2,1305,1333.5
1998-01-26T00:00:00+02:00,1334.8,1341,1334.8,1341
1998-02-09T00:00:00+02:00,1348,1348,1345,1345
1998-02-16T00:00:00+02:00,1351.15,1351.15,1349,1349
1998-02-23T00:00:00+02:00,1348.5,1348.5,1335,1342
1998-03-02T00:00:00+02:00,1346,1354.1,1346,1354
1998-03-09T00:00:00+02:00,1356,1357,1355.5,1356
1998-03-16T00:00:00+02:00,1357.6,1361.7,1357.6,1361.7
1998-03-23T00:00:00+02:00,1361,1365.8,1361,1365
1998-03-30T01:00:00+03:00,1360,1361,1340,1358.1
1998-04-06T01:00:00+03:00,1356.7,1360.4,1338,1360.4
1998-05-04T01:00:00+03:00,1375,1383.7,1375,1383.7
1998-05-11T01:00:00+03:00,1360,1388.5,1360,1386
1998-05-18T01:00:00+03:00,1362,1391.7,1362,1391.7
1998-06-01T01:00:00+03:00,1398.15,1398.15,1398.15,1398.15
1998-06-15T01:00:00+03:00,1384,1393.5,1384,1384
1998-06-22T01:00:00+03:00,1368,1368,1345,1345
1998-06-29T01:00:00+03:00,1370,1370,1348,1348
1998-07-06T01:00:00+03:00,1350,1367,1350,1355
1998-07-13T01:00:00+03:00,1379,1382,1372.5,1380
1998-08-10T01:00:00+03:00,1373,1379,1373,1379
1998-08-17T01:00:00+03:00,1384,1384,1384,1384
1998-09-07T01:00:00+03:00,1497,1497,1497,1497
1998-09-14T01:00:00+03:00,1520,1534,1520,1534
1998-09-21T01:00:00+03:00,1532,1532,1532,1532
1998-10-19T01:00:00+03:00,1597,1600.31,1597,1600.31
1998-10-26T00:00:00+02:00,1577,1577.5,1573.5,1577.5
1998-11-02T00:00:00+02:00,1568,1568,1564,1564
1998-11-09T00:00:00+02:00,1550,1582,1550,1582
1998-11-16T00:00:00+02:00,1576.5,1576.5,1550,1550
1998-11-23T00:00:00+02:00,1530,1545.3,1530,1545.3
1998-11-30T00:00:00+02:00,1544.2,1544.2,1536.5,1536.5
1998-12-07T00:00:00+02:00,1545,1545,1545,1545
1998-12-14T00:00:00+02:00,1532,1532,1506,1506
1998-12-21T00:00:00+02:00,1470,1476,1470,1476
1998-12-28T00:00:00+02:00,1498,1550,1498,1550
1999-01-04T00:00:00+02:00,1550,1552.5,1495,1538.5
1999-01-11T00:00:00+02:00,1528,1594,1500,1594
1999-01-18T00:00:00+02:00,1591,1591,1515,1515
1999-01-25T00:00:00+02:00,1593,1593,1583,1583
1999-02-01T00:00:00+02:00,1580,1580,1495,1498
1999-02-08T00:00:00+02:00,1558,1563,1558,1560
1999-02-15T00:00:00+02:00,1555,1563,1555,1559.6
1999-02-22T00:00:00+02:00,1554,1573,1500,1573
1999-03-01T00:00:00+02:00,1555,1564,1480,1480
1999-03-08T00:00:00+02:00,1542.25,1542.25,1470,1485
1999-03-15T00:00:00+02:00,1553.2,1553.2,1475,1541.75
1999-03-22T00:00:00+02:00,1547,1547,1457,1526
1999-03-29T01:00:00+03:00,1530,1535,1446,1522.35
1999-04-05T01:00:00+03:00,1522.35,1534,1451,1515
1999-04-12T01:00:00+03:00,1570.11,1593.99,1490,1490
1999-04-19T01:00:00+03:00,1576,1576,1480,1495
1999-04-26T01:00:00+03:00,1578,1595.98,1515,1595.98
1999-05-03T01:00:00+03:00,1607.92,1616.88,1596.98,1616.88
1999-05-10T01:00:00+03:00,1620.86,1626.83,1540,1626.83
1999-05-17T01:00:00+03:00,1641.75,1645,1560,1580
1999-05-24T01:00:00+03:00,1670,1670,1575,1590
1999-05-31T01:00:00+03:00,1651.7,1660,1580,1631.8
1999-06-07T01:00:00+03:00,1660,1684,1600,1675.58
1999-06-14T01:00:00+03:00,1685,1698,1605,1606
1999-06-21T01:00:00+03:00,1695,1740,1623,1740
1999-06-28T01:00:00+03:00,1738,1747,1645,1746.5
1999-07-05T01:00:00+03:00,1745,1850,1736.28,1840.75
1999-07-12T01:00:00+03:00,1840,1900,1735,1735
1999-07-19T01:00:00+03:00,1815,1815,1791,1800.95
1999-07-26T01:00:00+03:00,1840,1840,1786.03,1786.03
1999-08-02T01:00:00+03:00,1801.95,1836,1765,1765
1999-08-09T01:00:00+03:00,1842,1887,1832.79,1885
1999-08-16T01:00:00+03:00,1875,1905,1865.63,1895.48
1999-08-23T01:00:00+03:00,1900,1918,1835,1837.5
1999-08-30T01:00:00+03:00,1960,1960,1852.5,1854
1999-09-06T01:00:00+03:00,1940.25,1981,1890,1971.1
1999-09-13T01:00:00+03:00,1975.08,1985,1904,1904
1999-09-20T01:00:00+03:00,1980,1993.4,1894.5,1982.04
1999-09-27T01:00:00+03:00,2004,2015,1920,1925
1999-10-04T01:00:00+03:00,1990,1990,1905,1910
1999-10-11T01:00:00+03:00,1992,1992,1890,1900
1999-10-18T01:00:00+03:00,1965,1970,1865,1920.35
1999-10-25T01:00:00+03:00,1946,1972,1875,1883
1999-11-01T00:00:00+02:00,1969,1969,1877,1877
1999-11-08T00:00:00+02:00,1955,1959.16,1865,1880
1999-11-15T00:00:00+02:00,1961,1961,1850,1907.42
1999-11-22T00:00:00+02:00,1928,1935,1835,1920
1999-11-29T00:00:00+02:00,1911,1921,1820,1820
