time,open,high,low,close
1997-08-18T01:00:00+03:00,235,235,235,235
1997-08-25T01:00:00+03:00,235.75,235.75,235.75,235.75
1997-09-01T01:00:00+03:00,236.57,236.57,236.57,236.57
1997-09-08T01:00:00+03:00,237,237,237,237
1997-09-29T01:00:00+03:00,238.3,238.3,238.3,238.3
1997-10-27T00:00:00+02:00,240.05,240.05,240.05,240.05
1997-11-17T00:00:00+02:00,241.41,241.41,241.41,241.41
1997-11-24T00:00:00+02:00,241.9,241.9,241.9,241.9
1997-12-08T00:00:00+02:00,242.18,242.18,242.18,242.18
1997-12-15T00:00:00+02:00,242.73,242.73,242.73,242.73
1998-01-05T00:00:00+02:00,242.73,242.73,242.73,242.73
1998-02-02T00:00:00+02:00,245.98,245.98,245.98,245.98
1998-02-09T00:00:00+02:00,245.01,245.01,245.01,245.01
1998-02-16T00:00:00+02:00,246.91,246.91,246.91,246.91
1998-03-09T00:00:00+02:00,248.38,248.38,248.38,248.38
1998-03-30T01:00:00+03:00,249.84,249.84,249.84,249.84
1998-04-06T01:00:00+03:00,249.84,249.84,249.84,249.84
1998-04-13T01:00:00+03:00,250.79,250.79,250.79,250.79
1998-04-20T01:00:00+03:00,251.12,251.12,251.12,251.12
1998-04-27T01:00:00+03:00,251.63,251.63,251.63,251.63
1998-05-04T01:00:00+03:00,252.13,252.13,252.13,252.13
1998-05-11T01:00:00+03:00,252.52,252.52,252.52,252.52
1998-05-25T01:00:00+03:00,253.55,253.55,253.55,253.55
1998-06-08T01:00:00+03:00,254.05,254.05,254.05,254.05
1998-06-22T01:00:00+03:00,256.71,256.71,256.71,256.71
1998-06-29T01:00:00+03:00,256.26,256.26,256.26,256.26
1998-07-06T01:00:00+03:00,258.7,258.7,258.7,258.7
1998-07-13T01:00:00+03:00,257.38,257.38,257.38,257.38
1998-07-20T01:00:00+03:00,257.91,257.91,257.91,257.91
1998-07-27T01:00:00+03:00,258.5,258.5,258.5,258.5
1998-08-17T01:00:00+03:00,260.16,260.16,260.16,260.16
1998-08-31T01:00:00+03:00,261.2,261.2,261.2,261.2
1998-09-07T01:00:00+03:00,261.65,261.65,261.65,261.65
1998-09-14T01:00:00+03:00,262.36,262.36,262.36,262.36
1998-11-02T00:00:00+02:00,263.7,263.7,263.7,263.7
1998-11-09T00:00:00+02:00,266.7,266.7,266.7,266.7
1998-11-16T00:00:00+02:00,267.46,267.46,267.46,267.46
1998-11-23T00:00:00+02:00,264.93,264.93,264.93,264.93
1998-11-30T00:00:00+02:00,268.56,268.56,268.56,268.56
1998-12-07T00:00:00+02:00,269.15,269.15,269.15,269.15
1998-12-14T00:00:00+02:00,269.88,269.88,269.88,269.88
1998-12-21T00:00:00+02:00,270.41,270.41,270.41,270.41
1998-12-28T00:00:00+02:00,270.93,270.93,270.93,270.93
1999-01-04T00:00:00+02:00,271.42,271.42,271.42,271.42
1999-01-11T00:00:00+02:00,271.71,271.71,271.71,271.71
1999-01-18T00:00:00+02:00,272.31,272.31,272.31,272.31
1999-01-25T00:00:00+02:00,272.31,272.31,272.31,272.31
1999-02-01T00:00:00+02:00,273.58,273.58,273.58,273.58
1999-02-08T00:00:00+02:00,274.14,274.14,274.14,274.14
1999-02-15T00:00:00+02:00,274.14,274.14,274.14,274.14
1999-02-22T00:00:00+02:00,275.35,275.35,275.35,275.35
1999-03-01T00:00:00+02:00,275.92,275.92,275.92,275.92
1999-03-08T00:00:00+02:00,273.75,273.75,272.6,272.6
1999-03-15T00:00:00+02:00,274.36,277.14,274.36,274.6
1999-03-22T00:00:00+02:00,274.98,274.98,274.98,274.98
1999-03-29T01:00:00+03:00,275.55,277.25,274.98,277.25
1999-04-05T01:00:00+03:00,276.02,278.8,276.02,276.02
1999-04-12T01:00:00+03:00,276.5,278.8,276.5,276.5
1999-04-19T01:00:00+03:00,279.92,279.92,277.12,277.12
1999-04-26T01:00:00+03:00,279.92,280.65,279.92,280.65
1999-05-03T01:00:00+03:00,280.65,280.75,280.65,280.75
1999-05-10T01:00:00+03:00,278.87,281.68,278.87,281
1999-05-17T01:00:00+03:00,279.23,282.05,279.23,282.05
1999-05-24T01:00:00+03:00,282.05,282.05,282,282
1999-05-31T01:00:00+03:00,282,282,280.69,280.69
1999-06-07T01:00:00+03:00,281.27,283.52,281.27,281.88
1999-06-14T01:00:00+03:00,283.52,284.73,281.88,281.88
1999-06-21T01:00:00+03:00,282.46,284.73,282.46,282.5
1999-06-28T01:00:00+03:00,283.04,285.9,283.04,283.04
1999-07-05T01:00:00+03:00,283.64,285.9,283.64,283.64
1999-07-12T01:00:00+03:00,286.99,286.99,284.12,284.12
1999-07-19T01:00:00+03:00,282.5,286.99,282.5,282.5
1999-07-26T01:00:00+03:00,285.14,288.02,283,283
1999-08-02T01:00:00+03:00,285.64,288.53,280,288.53
1999-08-09T01:00:00+03:00,285.99,288.88,285.99,285.99
1999-08-16T01:00:00+03:00,289.34,289.34,285.71,285.71
1999-08-23T01:00:00+03:00,286.9,289.8,286.9,286.9
1999-08-30T01:00:00+03:00,287.48,290.38,287.48,287.48
1999-09-06T01:00:00+03:00,287.82,290.73,287.74,288.21
1999-09-13T01:00:00+03:00,288.21,291.12,287.89,291.12
1999-09-20T01:00:00+03:00,291.12,291.12,291.12,291.12
1999-09-27T01:00:00+03:00,291.9,291.9,291.9,291.9
1999-10-04T01:00:00+03:00,291.8,291.8,291.8,291.8
1999-10-11T01:00:00+03:00,292.4,292.4,292.4,292.4
1999-10-18T01:00:00+03:00,290.17,293.1,290.17,290.17
1999-10-25T01:00:00+03:00,290.69,293.63,290.07,290.07
1999-11-01T00:00:00+02:00,291.26,294.1,291.26,291.26
1999-11-08T00:00:00+02:00,291.62,294.57,291.56,291.56
1999-11-15T00:00:00+02:00,294.5,294.5,292.15,292.15
1999-11-22T00:00:00+02:00,292.53,295.48,292.53,292.53
1999-11-29T00:00:00+02:00,292.86,295.48,292.8,292.8
1999-12-06T00:00:00+02:00,293.41,295.48,293.41,295.25
1999-12-13T00:00:00+02:00,293.88,296.85,293.88,293.88
1999-12-20T00:00:00+02:00,294.27,297.24,291.33,294.27
1999-12-27T00:00:00+02:00,294.56,294.56,294.56,294.56
2000-01-03T00:00:00+02:00,297.54,297.54,294.53,294.53
2000-01-10T00:00:00+02:00,295,298.2,295,295.47
2000-01-17T00:00:00+02:00,295.52,298.4,295.52,295.81
2000-01-24T00:00:00+02:00,296.01,298.8,296.01,296.01
2000-01-31T00:00:00+02:00,296.68,299.68,296.65,296.65
2000-02-07T00:00:00+02:00,296.98,297.15,296.65,297.15
2000-02-14T00:00:00+02:00,297.37,300.2,297.3,297.35
2000-02-21T00:00:00+02:00,297.74,300.35,297.74,297.75
2000-02-28T00:00:00+02:00,297.79,301.08,297.79,298.19
2000-03-06T00:00:00+02:00,298.47,301.2,298.29,298.49
2000-03-13T00:00:00+02:00,298.97,301.99,298.73,298.83
2000-03-20T00:00:00+02:00,298.83,301.85,298.83,299.18
2000-03-27T01:00:00+03:00,299.62,302.45,299.62,299.77
2000-04-03T01:00:00+03:00,299.92,300.27,299.92,300.27
2000-04-10T01:00:00+03:00,298.97,303.35,298.97,300.56
2000-04-17T01:00:00+03:00,301.06,304.1,300.71,300.81
2000-04-24T01:00:00+03:00,301.06,301.06,301.06,301.06
2000-05-01T01:00:00+03:00,301.11,304.1,301.11,301.46
2000-05-08T01:00:00+03:00,301.65,304.5,301.65,304.5
2000-05-15T01:00:00+03:00,301.85,304.9,301.85,302.1
2000-05-22T01:00:00+03:00,302.35,305.35,302.35,302.54
2000-05-29T01:00:00+03:00,305.6,305.6,302.84,303.04
2000-06-05T01:00:00+03:00,306.1,306.1,303.24,303.24
2000-06-12T01:00:00+03:00,303.24,306.3,303.24,303.53
2000-06-19T01:00:00+03:00,303.93,306.8,303,304.13
2000-06-26T01:00:00+03:00,304.13,307.2,304.13,304.43
2000-07-03T01:00:00+03:00,307.7,307.7,304.62,304.82
2000-07-10T01:00:00+03:00,303.24,306.3,301.95,301.95
2000-07-17T01:00:00+03:00,303.24,308.7,303.24,305.79
2000-07-24T01:00:00+03:00,305.99,309.09,305.99,306
2000-07-31T01:00:00+03:00,303.24,306.47,303.24,306.47
2000-08-07T01:00:00+03:00,303.24,306.74,303.24,306.6
2000-08-14T01:00:00+03:00,303.44,306.9,303.44,306.9
2000-08-21T01:00:00+03:00,303.24,310.44,303.24,307.15
2000-08-28T01:00:00+03:00,306.9,310.84,306.9,310.84
2000-09-04T01:00:00+03:00,306.3,308.41,306.3,308.41
2000-09-11T01:00:00+03:00,308.65,308.65,306.3,307.89
2000-09-18T01:00:00+03:00,303.24,309.16,303.24,309.16
2000-09-25T01:00:00+03:00,309.16,312.6,306.9,309.47
2000-10-02T01:00:00+03:00,309.16,313.01,309.16,309.93
2000-10-09T01:00:00+03:00,310.1,313.48,310.1,310.35
2000-10-16T01:00:00+03:00,310.43,313.86,310.43,310.63
2000-10-23T01:00:00+03:00,310.72,314.19,310.72,311.05
2000-10-30T00:00:00+02:00,310.92,314.58,310.92,314
2000-11-06T00:00:00+02:00,311.53,315.02,311.53,315.02
2000-11-13T00:00:00+02:00,311.95,315.19,311.95,312.04
2000-11-20T00:00:00+02:00,312.47,312.47,312.47,312.47
2000-11-27T00:00:00+02:00,315.91,316.35,312.9,316.35
2000-12-04T00:00:00+02:00,316.35,316.72,316.35,316.72
2000-12-11T00:00:00+02:00,313.6,317.07,313.6,317.07
2000-12-18T00:00:00+02:00,313.93,317.45,313.93,317.3
2000-12-25T00:00:00+02:00,314.13,317.45,314.13,314.28
2001-01-01T00:00:00+02:00,317.45,317.45,314.28,314.52
2001-01-08T00:00:00+02:00,314.95,318.32,314.95,315.27
2001-01-15T00:00:00+02:00,318.62,318.8,315.43,318.8
2001-01-22T00:00:00+02:00,315.73,318.89,315.73,315.99
2001-01-29T00:00:00+02:00,316.13,316.39,316.13,316.39
2001-02-05T00:00:00+02:00,316.52,320,316.52,320
2001-02-12T00:00:00+02:00,317.02,320.45,317.01,320.45
2001-02-19T00:00:00+02:00,320.5,320.5,317.3,317.6
2001-02-26T00:00:00+02:00,317.65,321.21,317.65,318
2001-03-05T00:00:00+02:00,321.21,321.62,318.22,321.62
2001-03-12T00:00:00+02:00,321.73,322.01,318.51,322.01
2001-03-19T00:00:00+02:00,318.87,322.4,318.87,322.4
2001-03-26T01:00:00+03:00,322.25,322.79,322.25,322.79
2001-04-02T01:00:00+03:00,322.85,323.02,322.85,323.02
2001-04-09T01:00:00+03:00,323.26,323.34,320.03,323.34
2001-04-16T01:00:00+03:00,320.11,323.72,320.11,323.72
2001-04-23T01:00:00+03:00,320.56,324.13,320.56,324.13
2001-04-30T01:00:00+03:00,324.28,324.43,321.04,324.43
2001-05-07T01:00:00+03:00,324.51,324.85,324.51,324.85
2001-05-14T01:00:00+03:00,321.69,325.09,321.69,321.93
2001-05-21T01:00:00+03:00,322.08,325.65,322.08,325.65
2001-05-28T01:00:00+03:00,325.81,326.04,322.55,326.04
2001-06-04T01:00:00+03:00,322.87,326.44,322.87,326.44
2001-06-11T01:00:00+03:00,323.26,326.59,323.09,326.35
2001-06-18T01:00:00+03:00,326.35,327.24,323.09,327.24
2001-06-25T01:00:00+03:00,324.05,327.67,324.05,327.67
2001-07-02T01:00:00+03:00,324.39,328.17,324.39,328.17
2001-07-09T01:00:00+03:00,324.99,328.67,324.99,328.67
2001-07-16T01:00:00+03:00,325.48,329.17,325.48,329.17
2001-07-23T01:00:00+03:00,329.27,329.57,326.17,329.57
2001-07-30T01:00:00+03:00,326.37,330.05,326.37,330.05
2001-08-06T01:00:00+03:00,326.77,330.47,326.77,330.47
2001-08-13T01:00:00+03:00,330.55,330.65,327.34,330.65
2001-08-20T01:00:00+03:00,330.97,331.37,327.86,331.37
2001-08-27T01:00:00+03:00,328.15,331.87,328.15,331.87
2001-09-03T01:00:00+03:00,328.75,332.37,328.75,332.37
2001-09-10T01:00:00+03:00,329.06,332.38,329.06,332.38
2001-09-17T01:00:00+03:00,332.27,333.27,332.27,333.27
2001-09-24T01:00:00+03:00,333.37,333.77,333.37,333.77
