time,open,high,low,close
1997-08-18T01:00:00+03:00,3.385,3.385,3.385,3.385
1997-08-25T01:00:00+03:00,3.385,3.3926,3.385,3.3898
1997-09-01T01:00:00+03:00,3.3891,3.3891,3.3891,3.3891
1997-09-22T01:00:00+03:00,3.394,3.394,3.394,3.394
1997-09-29T01:00:00+03:00,3.385,3.3924,3.385,3.3924
1997-10-13T01:00:00+03:00,3.3961,3.3961,3.3961,3.3961
1997-10-20T01:00:00+03:00,3.3953,3.3986,3.393,3.3986
1997-12-15T00:00:00+02:00,3.3952,3.4005,3.3952,3.4005
1998-01-05T00:00:00+02:00,3.4045,3.4045,3.4045,3.4045
1998-03-02T00:00:00+02:00,3.4041,3.4041,3.4041,3.4041
1998-03-23T00:00:00+02:00,3.4053,3.4053,3.4053,3.4053
1998-04-27T01:00:00+03:00,3.403,3.403,3.403,3.403
1998-06-01T01:00:00+03:00,3.4037,3.4037,3.4037,3.4037
1998-06-08T01:00:00+03:00,3.4042,3.4042,3.4042,3.4042
1998-06-15T01:00:00+03:00,3.4031,3.4165,3.4025,3.4165
1998-06-22T01:00:00+03:00,3.4152,3.4152,3.4152,3.4152
1998-07-13T01:00:00+03:00,3.3946,3.3946,3.3946,3.3946
1998-07-20T01:00:00+03:00,3.3958,3.4028,3.3958,3.4028
1998-08-17T01:00:00+03:00,3.4065,3.4065,3.4065,3.4065
1998-09-07T01:00:00+03:00,3.416,3.416,3.416,3.416
1998-09-14T01:00:00+03:00,3.416,3.4175,3.416,3.4175
1998-09-21T01:00:00+03:00,3.4127,3.4127,3.4038,3.4038
1998-09-28T01:00:00+03:00,3.4127,3.4127,3.4111,3.4111
1998-10-05T01:00:00+03:00,3.414,3.4248,3.4087,3.4096
1998-10-12T01:00:00+03:00,3.4168,3.4168,3.4146,3.4146
1998-10-19T01:00:00+03:00,3.414,3.4211,3.4119,3.4211
1998-10-26T00:00:00+02:00,3.4146,3.4146,3.4111,3.4116
1998-11-02T00:00:00+02:00,3.4113,3.4157,3.4094,3.4106
1998-11-09T00:00:00+02:00,3.4141,3.4163,3.405,3.405
1998-11-16T00:00:00+02:00,3.4127,3.428,3.4127,3.4127
1998-11-23T00:00:00+02:00,3.4222,3.4275,3.405,3.405
1998-11-30T00:00:00+02:00,3.4141,3.4287,3.4141,3.4147
1998-12-07T00:00:00+02:00,3.4138,3.4138,3.4138,3.4138
1998-12-14T00:00:00+02:00,3.4138,3.4237,3.4137,3.4237
1998-12-21T00:00:00+02:00,3.4151,3.4207,3.4151,3.4207
1998-12-28T00:00:00+02:00,3.4194,3.4223,3.4178,3.4178
1999-01-04T00:00:00+02:00,3.4118,3.4206,3.4118,3.4206
1999-01-11T00:00:00+02:00,3.4213,3.4246,3.4124,3.4124
1999-01-18T00:00:00+02:00,3.405,3.4215,3.405,3.4215
1999-01-25T00:00:00+02:00,3.4147,3.4203,3.4147,3.4169
1999-02-01T00:00:00+02:00,3.4216,3.4216,3.405,3.4208
1999-02-08T00:00:00+02:00,3.4077,3.4175,3.405,3.4175
1999-02-15T00:00:00+02:00,3.4177,3.419,3.415,3.419
1999-02-22T00:00:00+02:00,3.4202,3.4202,3.3377,3.3438
1999-03-01T00:00:00+02:00,3.3438,3.4377,3.3438,3.4377
1999-03-08T00:00:00+02:00,3.3305,3.386,3.3293,3.386
1999-03-15T00:00:00+02:00,3.386,3.4055,3.3355,3.3355
1999-03-22T00:00:00+02:00,3.3305,3.4384,3.3305,3.4328
1999-03-29T01:00:00+03:00,3.4125,3.4374,3.3315,3.338
1999-04-05T01:00:00+03:00,3.415,3.4306,3.3373,3.383
1999-04-12T01:00:00+03:00,3.395,3.395,3.3377,3.395
1999-04-19T01:00:00+03:00,3.3377,3.395,3.3377,3.395
1999-04-26T01:00:00+03:00,3.3398,3.415,3.3398,3.4097
1999-05-03T01:00:00+03:00,3.383,3.408,3.3327,3.408
1999-05-10T01:00:00+03:00,3.3398,3.435,3.3377,3.393
1999-05-17T01:00:00+03:00,3.3377,3.355,3.3377,3.355
1999-05-24T01:00:00+03:00,3.4396,3.4396,3.3345,3.393
1999-05-31T01:00:00+03:00,3.3379,3.4393,3.3379,3.393
1999-06-07T01:00:00+03:00,3.3398,3.4416,3.3349,3.3377
1999-06-14T01:00:00+03:00,3.3515,3.4403,3.3323,3.388
1999-06-21T01:00:00+03:00,3.3398,3.4442,3.3335,3.4384
1999-06-28T01:00:00+03:00,3.435,3.438,3.3929,3.4
1999-07-05T01:00:00+03:00,3.41,3.4437,3.3927,3.395
1999-07-12T01:00:00+03:00,3.404,3.4368,3.3927,3.398
1999-07-19T01:00:00+03:00,3.413,3.4454,3.389,3.389
1999-07-26T01:00:00+03:00,3.4,3.4406,3.3927,3.393
1999-08-02T01:00:00+03:00,3.4058,3.4405,3.3927,3.416
1999-08-09T01:00:00+03:00,3.3929,3.4395,3.3929,3.3973
1999-08-16T01:00:00+03:00,3.3948,3.475,3.3927,3.41
1999-08-23T01:00:00+03:00,3.3948,3.51,3.3945,3.403
1999-08-30T01:00:00+03:00,3.475,3.475,3.3948,3.4364
1999-09-06T01:00:00+03:00,3.41,3.45,3.384,3.4175
1999-09-13T01:00:00+03:00,3.3948,3.487,3.392,3.392
1999-09-20T01:00:00+03:00,3.3927,3.455,3.3898,3.398
1999-09-27T01:00:00+03:00,3.3963,3.5,3.392,3.392
1999-10-04T01:00:00+03:00,3.3948,3.4775,3.3904,3.4352
1999-10-11T01:00:00+03:00,3.4775,3.5,3.3927,3.3948
1999-10-18T01:00:00+03:00,3.3909,3.4416,3.3909,3.3948
1999-10-25T01:00:00+03:00,3.3909,3.4482,3.3909,3.41
1999-11-01T00:00:00+02:00,3.4097,3.4369,3.3948,3.414
1999-11-08T00:00:00+02:00,3.435,3.4401,3.3948,3.414
1999-11-15T00:00:00+02:00,3.397,3.4408,3.3948,3.3998
1999-11-22T00:00:00+02:00,3.4008,3.455,3.3998,3.4382
1999-11-29T00:00:00+02:00,3.3998,3.455,3.3964,3.398
1999-12-06T00:00:00+02:00,3.455,3.455,3.398,3.398
1999-12-13T00:00:00+02:00,3.4164,3.4426,3.398,3.4426
1999-12-20T00:00:00+02:00,3.434,3.45,3.398,3.407
1999-12-27T00:00:00+02:00,3.4219,3.4431,3.398,3.4417
2000-01-03T00:00:00+02:00,3.4048,3.4458,3.4048,3.4418
2000-01-10T00:00:00+02:00,3.407,3.4443,3.4005,3.4219
2000-01-17T00:00:00+02:00,3.4197,3.4444,3.4048,3.4048
2000-01-24T00:00:00+02:00,3.4197,3.4464,3.403,3.4458
2000-01-31T00:00:00+02:00,3.4219,3.4455,3.4048,3.413
2000-02-07T00:00:00+02:00,3.445,3.445,3.4048,3.413
2000-02-14T00:00:00+02:00,3.4305,3.455,3.4048,3.43
2000-02-21T00:00:00+02:00,3.455,3.47,3.4048,3.43
2000-02-28T00:00:00+02:00,3.455,3.487,3.407,3.415
2000-03-06T00:00:00+02:00,3.406,3.5,3.4048,3.4535
2000-03-13T00:00:00+02:00,3.497,3.497,3.407,3.4688
2000-03-20T00:00:00+02:00,3.485,3.4875,3.4079,3.4535
2000-03-27T01:00:00+03:00,3.4079,3.477,3.4079,3.4548
2000-04-03T01:00:00+03:00,3.4113,3.455,3.4088,3.4512
2000-04-10T01:00:00+03:00,3.4113,3.463,3.4113,3.45
2000-04-17T01:00:00+03:00,3.412,3.457,3.4113,3.4531
2000-04-24T01:00:00+03:00,3.408,3.4609,3.408,3.408
2000-05-01T01:00:00+03:00,3.4312,3.4751,3.4163,3.4569
2000-05-08T01:00:00+03:00,3.4175,3.4688,3.4165,3.4572
2000-05-15T01:00:00+03:00,3.4135,3.4624,3.4135,3.4612
2000-05-22T01:00:00+03:00,3.42,3.4756,3.42,3.4756
2000-05-29T01:00:00+03:00,3.4238,3.47,3.4225,3.47
2000-06-05T01:00:00+03:00,3.4118,3.478,3.4118,3.477
2000-06-12T01:00:00+03:00,3.4267,3.46,3.4267,3.443
2000-06-19T01:00:00+03:00,3.4413,3.5005,3.4413,3.443
2000-06-26T01:00:00+03:00,3.4513,3.6313,3.4513,3.455
2000-07-03T01:00:00+03:00,3.46,3.527,3.453,3.453
2000-07-10T01:00:00+03:00,3.46,3.4875,3.453,3.4755
2000-07-17T01:00:00+03:00,3.4755,3.5055,3.455,3.465
