time,open,high,low,close
1996-12-09T00:00:00+02:00,0.7939,0.7939,0.7844,0.7919
1996-12-16T00:00:00+02:00,0.7913,0.7961,0.7875,0.7914
1996-12-23T00:00:00+02:00,0.7911,0.7942,0.7906,0.7919
1996-12-30T00:00:00+02:00,0.7916,0.7983,0.7844,0.7975
1997-01-06T00:00:00+02:00,0.7979,0.8059,0.7945,0.8059
1997-01-13T00:00:00+02:00,0.8057,0.8219,0.8044,0.8218
1997-01-20T00:00:00+02:00,0.8206,0.8361,0.8206,0.8284
1997-01-27T00:00:00+02:00,0.8298,0.8424,0.8298,0.8352
1997-02-03T00:00:00+02:00,0.8356,0.8526,0.8356,0.844
1997-02-10T00:00:00+02:00,0.8403,0.862,0.8394,0.8598
1997-02-17T00:00:00+02:00,0.8613,0.8688,0.8585,0.8611
1997-02-24T00:00:00+02:00,0.8602,0.8652,0.852,0.8638
1997-03-03T00:00:00+02:00,0.8646,0.8778,0.8639,0.8747
1997-03-10T00:00:00+02:00,0.8749,0.8749,0.8644,0.8655
1997-03-17T00:00:00+02:00,0.8655,0.8658,0.8556,0.8612
1997-03-24T00:00:00+02:00,0.8625,0.8654,0.8545,0.8565
1997-03-31T01:00:00+03:00,0.8568,0.8593,0.8503,0.8589
1997-04-07T01:00:00+03:00,0.8599,0.8795,0.8599,0.8763
1997-04-14T01:00:00+03:00,0.8758,0.8837,0.8724,0.8724
1997-04-21T01:00:00+03:00,0.872,0.8817,0.867,0.8814
1997-04-28T01:00:00+03:00,0.8848,0.8848,0.8772,0.8822
1997-05-05T01:00:00+03:00,0.882,0.8844,0.8612,0.8612
1997-05-12T01:00:00+03:00,0.8598,0.8718,0.8596,0.8628
1997-05-19T01:00:00+03:00,0.8626,0.8715,0.8551,0.8635
1997-05-26T01:00:00+03:00,0.8599,0.8729,0.8583,0.8713
1997-06-02T01:00:00+03:00,0.8738,0.8879,0.8738,0.8799
1997-06-09T01:00:00+03:00,0.879,0.8866,0.8708,0.8858
1997-06-16T01:00:00+03:00,0.8852,0.8862,0.8782,0.88
1997-06-23T01:00:00+03:00,0.8808,0.8858,0.8747,0.8855
1997-06-30T01:00:00+03:00,0.8856,0.8943,0.8851,0.8922
1997-07-07T01:00:00+03:00,0.8922,0.9032,0.8878,0.9032
1997-07-14T01:00:00+03:00,0.9043,0.9169,0.9043,0.9117
1997-07-21T01:00:00+03:00,0.911,0.9356,0.9109,0.9351
1997-07-28T01:00:00+03:00,0.9351,0.9495,0.9313,0.9478
1997-08-04T01:00:00+03:00,0.9485,0.9628,0.9383,0.9395
1997-08-11T01:00:00+03:00,0.9407,0.9515,0.9269,0.9285
1997-08-18T01:00:00+03:00,0.9257,0.9456,0.9214,0.9247
1997-08-25T01:00:00+03:00,0.925,0.929,0.9118,0.921
1997-09-01T01:00:00+03:00,0.9213,0.9356,0.9152,0.917
1997-09-08T01:00:00+03:00,0.917,0.9237,0.9018,0.9019
1997-09-15T01:00:00+03:00,0.9036,0.907,0.8947,0.9032
1997-09-22T01:00:00+03:00,0.9022,0.9163,0.8913,0.8953
1997-09-29T01:00:00+03:00,0.8972,0.9062,0.8934,0.8948
1997-10-06T01:00:00+03:00,0.8944,0.8991,0.8855,0.8915
1997-10-13T01:00:00+03:00,0.8922,0.9027,0.8882,0.9019
1997-10-20T01:00:00+03:00,0.9023,0.9113,0.8989,0.904
1997-10-27T00:00:00+02:00,0.902,0.9021,0.8725,0.8785
1997-11-03T00:00:00+02:00,0.8784,0.887,0.8673,0.8688
1997-11-10T00:00:00+02:00,0.8698,0.8828,0.8659,0.8795
1997-11-17T00:00:00+02:00,0.8805,0.8914,0.8787,0.885
1997-11-24T00:00:00+02:00,0.8854,0.9002,0.8816,0.8981
1997-12-01T00:00:00+02:00,0.8974,0.9086,0.8974,0.907
1997-12-08T00:00:00+02:00,0.9075,0.9135,0.8958,0.9042
1997-12-15T00:00:00+02:00,0.905,0.909,0.8979,0.9044
1997-12-22T00:00:00+02:00,0.9052,0.908,0.9032,0.9032
1997-12-29T00:00:00+02:00,0.9028,0.9202,0.9028,0.9184
1998-01-05T00:00:00+02:00,0.9181,0.9362,0.9175,0.9289
1998-01-12T00:00:00+02:00,0.9303,0.9349,0.9242,0.9346
1998-01-19T00:00:00+02:00,0.9343,0.9395,0.9062,0.9067
1998-01-26T00:00:00+02:00,0.9044,0.935,0.8995,0.9337
1998-02-02T00:00:00+02:00,0.9342,0.9369,0.9114,0.9225
1998-02-09T00:00:00+02:00,0.9242,0.9318,0.922,0.9278
1998-02-16T00:00:00+02:00,0.928,0.9329,0.926,0.9291
1998-02-23T00:00:00+02:00,0.928,0.9311,0.915,0.9265
1998-03-02T00:00:00+02:00,0.9256,0.9375,0.9202,0.9349
1998-03-09T00:00:00+02:00,0.9349,0.9372,0.927,0.9279
1998-03-16T00:00:00+02:00,0.9271,0.9363,0.9253,0.9337
1998-03-23T00:00:00+02:00,0.934,0.936,0.9289,0.9316
1998-03-30T01:00:00+03:00,0.9323,0.9468,0.9323,0.9428
1998-04-06T01:00:00+03:00,0.942,0.942,0.9248,0.9285
1998-04-13T01:00:00+03:00,0.9286,0.9322,0.9182,0.921
1998-04-20T01:00:00+03:00,0.9193,0.9251,0.9119,0.9156
1998-04-27T01:00:00+03:00,0.9155,0.9187,0.9122,0.9131
1998-05-04T01:00:00+03:00,0.9118,0.9145,0.9005,0.9023
1998-05-11T01:00:00+03:00,0.9014,0.9095,0.9014,0.9089
1998-05-18T01:00:00+03:00,0.9078,0.9123,0.8968,0.8978
1998-05-25T01:00:00+03:00,0.8975,0.9113,0.8971,0.9109
1998-06-01T01:00:00+03:00,0.9099,0.9118,0.9004,0.9035
1998-06-08T01:00:00+03:00,0.9021,0.9231,0.9021,0.9215
1998-06-15T01:00:00+03:00,0.9209,0.925,0.91,0.9134
1998-06-22T01:00:00+03:00,0.9123,0.9204,0.9111,0.9181
1998-06-29T01:00:00+03:00,0.9163,0.9301,0.9163,0.9273
1998-07-06T01:00:00+03:00,0.9262,0.9336,0.9226,0.9306
1998-07-13T01:00:00+03:00,0.9305,0.931,0.9107,0.9107
1998-07-20T01:00:00+03:00,0.9106,0.9139,0.9077,0.9099
1998-07-27T01:00:00+03:00,0.9094,0.9122,0.9019,0.9076
1998-08-03T01:00:00+03:00,0.9076,0.9118,0.9015,0.9047
1998-08-10T01:00:00+03:00,0.9032,0.9158,0.9032,0.9139
1998-08-17T01:00:00+03:00,0.911,0.9222,0.911,0.9164
1998-08-24T01:00:00+03:00,0.9158,0.9232,0.9111,0.9111
1998-08-31T01:00:00+03:00,0.8972,0.9022,0.881,0.8875
1998-09-07T01:00:00+03:00,0.8876,0.8885,0.8599,0.8606
1998-09-14T01:00:00+03:00,0.8606,0.8697,0.859,0.8642
1998-09-21T01:00:00+03:00,0.8642,0.8655,0.853,0.853
1998-09-28T01:00:00+03:00,0.853,0.8595,0.8395,0.841
1998-10-05T01:00:00+03:00,0.841,0.841,0.8181,0.8323
1998-10-12T01:00:00+03:00,0.8324,0.8437,0.8249,0.8249
1998-10-19T01:00:00+03:00,0.8248,0.8442,0.8238,0.8372
1998-10-26T00:00:00+02:00,0.8373,0.8491,0.8366,0.8487
1998-11-02T00:00:00+02:00,0.8486,0.8549,0.847,0.8518
1998-11-09T00:00:00+02:00,0.8517,0.8646,0.8515,0.8602
1998-11-16T00:00:00+02:00,0.8601,0.8628,0.8501,0.8625
1998-11-23T00:00:00+02:00,0.8623,0.8736,0.8623,0.8711
1998-11-30T00:00:00+02:00,0.8713,0.875,0.8517,0.8523
1998-12-07T00:00:00+02:00,0.8523,0.8585,0.8419,0.842
1998-12-14T00:00:00+02:00,0.8427,0.8548,0.8396,0.8495
1998-12-21T00:00:00+02:00,0.8488,0.8592,0.8477,0.8587
1998-12-28T00:00:00+02:00,0.8588,0.8595,0.8473,0.8473
1999-01-04T00:00:00+02:00,0.8513,0.8667,0.8415,0.8631
1999-01-11T00:00:00+02:00,0.8644,0.8731,0.8487,0.8655
1999-01-18T00:00:00+02:00,0.8644,0.8664,0.859,0.863
1999-01-25T00:00:00+02:00,0.8633,0.8809,0.8614,0.8797
1999-02-01T00:00:00+02:00,0.8781,0.8884,0.8775,0.8876
1999-02-08T00:00:00+02:00,0.8879,0.8916,0.8805,0.8844
1999-02-15T00:00:00+02:00,0.8851,0.904,0.8846,0.9039
1999-02-22T00:00:00+02:00,0.9033,0.9137,0.9028,0.9067
1999-03-01T00:00:00+02:00,0.9104,0.9264,0.907,0.9243
1999-03-08T00:00:00+02:00,0.9238,0.9258,0.9049,0.917
