time,open,high,low,close
1997-08-18T01:00:00+03:00,13.17,13.17,13.17,13.17
1997-08-25T01:00:00+03:00,13.1,13.1,13.1,13.1
1997-09-01T01:00:00+03:00,13.08,13.08,13.08,13.08
1997-10-06T01:00:00+03:00,13.38,13.38,13.38,13.38
1997-10-13T01:00:00+03:00,13.09,13.09,13.09,13.09
1997-10-20T01:00:00+03:00,13.2,13.2,13.2,13.2
1997-11-03T00:00:00+02:00,13.22,13.22,13.22,13.22
1997-12-15T00:00:00+02:00,13.21,13.21,13.21,13.21
1998-01-19T00:00:00+02:00,13.2,13.2,13.2,13.2
1998-02-02T00:00:00+02:00,13.2,13.2,13.2,13.2
1998-02-09T00:00:00+02:00,13.2,13.2,13.2,13.2
1998-02-23T00:00:00+02:00,13.18,13.18,13.18,13.18
1998-05-11T01:00:00+03:00,13.31,13.31,13.31,13.31
1998-09-14T01:00:00+03:00,13.5,13.5,13.5,13.5
1998-09-28T01:00:00+03:00,13.61,13.61,13.61,13.61
1998-10-05T01:00:00+03:00,13.64,13.64,13.64,13.64
1998-10-19T01:00:00+03:00,13.49,13.49,13.49,13.49
1998-11-02T00:00:00+02:00,13.49,13.49,13.49,13.49
1998-11-09T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-11-16T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-11-23T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-11-30T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-12-07T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-12-14T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-12-21T00:00:00+02:00,13.77,13.77,13.77,13.77
1998-12-28T00:00:00+02:00,13.77,13.77,13.77,13.77
1999-01-04T00:00:00+02:00,13.77,13.77,13.77,13.77
1999-01-11T00:00:00+02:00,14.02,14.02,14.02,14.02
1999-01-18T00:00:00+02:00,14.02,14.02,14.02,14.02
1999-01-25T00:00:00+02:00,14.02,14.02,14.02,14.02
1999-02-01T00:00:00+02:00,13.97,13.97,13.97,13.97
1999-02-08T00:00:00+02:00,13.97,13.97,13.97,13.97
1999-02-15T00:00:00+02:00,13.98,13.98,13.98,13.98
1999-02-22T00:00:00+02:00,14.01,14.01,14.01,14.01
1999-03-01T00:00:00+02:00,14.01,14.01,14.01,14.01
1999-03-08T00:00:00+02:00,13.96,14.03,13.96,14.03
1999-03-15T00:00:00+02:00,14.03,14.05,13.95,13.95
1999-03-22T00:00:00+02:00,13.98,13.99,13.92,13.99
1999-03-29T01:00:00+03:00,14,14.07,14,14.05
1999-04-05T01:00:00+03:00,14.02,14.1,14.02,14.02
1999-04-12T01:00:00+03:00,14.02,14.1,14.02,14.09
1999-04-19T01:00:00+03:00,14.13,14.13,14.05,14.05
1999-04-26T01:00:00+03:00,14.13,14.13,14.07,14.07
1999-05-03T01:00:00+03:00,14.07,14.17,14.07,14.07
1999-05-10T01:00:00+03:00,14.09,14.16,14.09,14.14
1999-05-17T01:00:00+03:00,14.08,14.15,14.08,14.15
1999-05-24T01:00:00+03:00,14.15,14.15,14.15,14.15
1999-05-31T01:00:00+03:00,14.22,14.22,14.14,14.14
1999-06-07T01:00:00+03:00,14.16,14.23,14.16,14.18
1999-06-14T01:00:00+03:00,14.23,14.26,14.18,14.18
1999-06-21T01:00:00+03:00,14.2,14.26,14.2,14.22
1999-06-28T01:00:00+03:00,14.21,14.26,14.21,14.24
1999-07-05T01:00:00+03:00,14.22,14.26,14.22,14.22
1999-07-12T01:00:00+03:00,14.31,14.31,14.23,14.23
1999-07-19T01:00:00+03:00,14.24,14.32,14.24,14.27
1999-07-26T01:00:00+03:00,14.27,14.35,14.27,14.27
1999-08-02T01:00:00+03:00,14.27,14.35,14.27,14.27
1999-08-09T01:00:00+03:00,14.27,14.35,14.27,14.27
1999-08-16T01:00:00+03:00,14.35,14.35,14.28,14.28
1999-08-23T01:00:00+03:00,14.3,14.37,14.3,14.3
1999-08-30T01:00:00+03:00,14.32,14.39,14.32,14.32
1999-09-06T01:00:00+03:00,14.34,14.41,14.3,14.37
1999-09-13T01:00:00+03:00,14.37,14.44,14.37,14.37
1999-09-20T01:00:00+03:00,14.37,14.44,14.37,14.37
1999-09-27T01:00:00+03:00,14.45,14.45,14.45,14.45
1999-10-04T01:00:00+03:00,14.47,14.47,14.47,14.47
1999-10-11T01:00:00+03:00,14.48,14.48,14.48,14.48
1999-10-18T01:00:00+03:00,14.42,14.49,14.42,14.42
1999-10-25T01:00:00+03:00,14.43,14.49,14.43,14.43
1999-11-01T00:00:00+02:00,14.44,14.51,14.44,14.44
1999-11-08T00:00:00+02:00,14.45,14.53,14.45,14.45
1999-11-15T00:00:00+02:00,14.53,14.53,14.45,14.51
1999-11-22T00:00:00+02:00,14.48,14.55,14.47,14.55
