time,open,high,low,close
1997-08-18T01:00:00+03:00,2900,2990,2615,2670
1997-08-25T01:00:00+03:00,2680,3050,2655,2930
1997-09-01T01:00:00+03:00,2985,3030,2980,3030
1997-09-08T01:00:00+03:00,2890,2940,2887,2930
1997-09-15T01:00:00+03:00,2930,2990,2927,2982
1997-09-22T01:00:00+03:00,2960,3035,2960,3014
1997-09-29T01:00:00+03:00,3110,3367,3110,3365
1997-10-27T00:00:00+02:00,3633,3633,3633,3633
1997-11-03T00:00:00+02:00,3250,3335,3250,3335
1997-11-10T00:00:00+02:00,3302,3302,3302,3302
1997-11-24T00:00:00+02:00,3635,3670,3635,3640
1997-12-15T00:00:00+02:00,5600,5600,5575,5575
1997-12-29T00:00:00+02:00,5300,5300,5300,5300
1998-01-05T00:00:00+02:00,8300,8300,8300,8300
1998-01-12T00:00:00+02:00,8900,8900,6900,8650
1998-01-19T00:00:00+02:00,8600,13200,8600,12900
1998-01-26T00:00:00+02:00,12770,13250,10250,12000
1998-02-02T00:00:00+02:00,10250,10600,9075,9500
1998-02-09T00:00:00+02:00,9750,9950,7100,8100
1998-02-16T00:00:00+02:00,9050,10050,8600,9270
1998-02-23T00:00:00+02:00,9250,9700,8700,8950
1998-03-02T00:00:00+02:00,8900,11650,8750,9900
1998-03-09T00:00:00+02:00,10950,11000,10100,10300
1998-03-16T00:00:00+02:00,9650,10500,9150,9650
1998-03-23T00:00:00+02:00,9400,9600,8300,8425
1998-03-30T01:00:00+03:00,8400,8775,8400,8775
1998-04-06T01:00:00+03:00,8500,8600,8000,8070
1998-04-13T01:00:00+03:00,7650,8700,7400,8100
1998-04-20T01:00:00+03:00,8100,8200,7745,7930
1998-04-27T01:00:00+03:00,8050,8220,7900,8000
1998-05-04T01:00:00+03:00,7985,9525,7975,9300
1998-05-11T01:00:00+03:00,9200,12850,9200,12850
1998-05-18T01:00:00+03:00,10500,13950,10500,11020
1998-05-25T01:00:00+03:00,11550,11550,10400,11250
1998-06-01T01:00:00+03:00,11250,11850,10900,11650
1998-06-08T01:00:00+03:00,11650,14750,11600,14750
1998-06-15T01:00:00+03:00,14250,16850,14050,14200
1998-06-22T01:00:00+03:00,14300,15150,14200,15150
1998-06-29T01:00:00+03:00,15150,15350,14400,14400
1998-07-06T01:00:00+03:00,14550,15750,14470,15000
1998-07-13T01:00:00+03:00,15000,15450,12800,14475
1998-07-20T01:00:00+03:00,13750,14900,13750,14875
1998-07-27T01:00:00+03:00,14000,14250,12800,13100
1998-08-03T01:00:00+03:00,13150,14200,12600,12800
1998-08-10T01:00:00+03:00,12800,13575,12800,12875
1998-08-17T01:00:00+03:00,12875,14200,11350,13650
1998-08-24T01:00:00+03:00,11700,13550,10900,11200
1998-08-31T01:00:00+03:00,11200,11500,10600,10950
1998-09-07T01:00:00+03:00,10850,13875,10730,11563
1998-09-14T01:00:00+03:00,11800,13350,10825,11100
1998-09-21T01:00:00+03:00,11100,11220,10700,10850
1998-09-28T01:00:00+03:00,10700,11000,10687,10750
1998-10-05T01:00:00+03:00,10750,10750,9000,9070
1998-10-12T01:00:00+03:00,9070,9125,8200,8400
1998-10-19T01:00:00+03:00,8400,8400,7100,7550
1998-10-26T00:00:00+02:00,7550,8000,7225,7650
1998-11-02T00:00:00+02:00,7700,8900,7600,8300
1998-11-09T00:00:00+02:00,8400,8850,7700,7700
1998-11-16T00:00:00+02:00,7600,7600,7400,7500
1998-11-23T00:00:00+02:00,7500,7600,7400,7500
1998-11-30T00:00:00+02:00,7500,7600,7400,7500
1998-12-07T00:00:00+02:00,7500,7520,7375,7500
1998-12-14T00:00:00+02:00,7500,7900,7500,7800
1998-12-21T00:00:00+02:00,7600,7800,7600,7700
1998-12-28T00:00:00+02:00,7700,8050,7700,8000
1999-01-04T00:00:00+02:00,7900,8000,7050,7800
1999-01-11T00:00:00+02:00,7900,8600,7900,8250
1999-01-18T00:00:00+02:00,8450,8725,8300,8725
1999-01-25T00:00:00+02:00,9200,9200,8700,8700
1999-02-01T00:00:00+02:00,8900,8900,8450,8600
1999-02-08T00:00:00+02:00,8850,8850,8450,8650
1999-02-15T00:00:00+02:00,8700,8763,8467,8763
1999-02-22T00:00:00+02:00,8800,8800,8713,8738
1999-03-01T00:00:00+02:00,8800,8850,8015,8785
1999-03-08T00:00:00+02:00,8775,9000,8075,8850
1999-03-15T00:00:00+02:00,8850,8850,8700,8700
1999-03-22T00:00:00+02:00,8700,8900,8000,8700
1999-03-29T01:00:00+03:00,8700,9450,7850,8600
1999-04-05T01:00:00+03:00,8700,9450,8510,8510
1999-04-12T01:00:00+03:00,8700,8700,8675,8700
1999-04-19T01:00:00+03:00,8700,8700,8550,8550
1999-04-26T01:00:00+03:00,8550,8550,8125,8150
1999-05-03T01:00:00+03:00,8150,8150,7700,7700
1999-05-10T01:00:00+03:00,7535,7750,7535,7750
1999-05-17T01:00:00+03:00,7910,7910,7850,7850
1999-05-24T01:00:00+03:00,8100,8125,8050,8075
1999-05-31T01:00:00+03:00,8150,8200,8080,8150
1999-06-07T01:00:00+03:00,8010,8020,7600,7705
1999-06-14T01:00:00+03:00,7705,7705,7165,7250
1999-06-21T01:00:00+03:00,7055,7140,6650,6725
1999-06-28T01:00:00+03:00,6710,6925,6550,6790
1999-07-05T01:00:00+03:00,6850,6850,6615,6650
1999-07-12T01:00:00+03:00,6595,6750,6595,6650
1999-07-19T01:00:00+03:00,6550,6925,6515,6925
1999-07-26T01:00:00+03:00,6960,7035,6775,6870
