time,open,high,low,close
1997-08-18T01:00:00+03:00,3.52,3.522,3.52,3.52
1997-08-25T01:00:00+03:00,3.51,3.52,3.5,3.5
1997-09-22T01:00:00+03:00,3.504,3.504,3.504,3.504
1997-09-29T01:00:00+03:00,3.5,3.506,3.5,3.506
1997-10-13T01:00:00+03:00,3.5,3.5,3.5,3.5
1997-12-15T00:00:00+02:00,3.524,3.524,3.524,3.524
1998-01-05T00:00:00+02:00,3.543,3.543,3.543,3.543
1998-03-23T00:00:00+02:00,3.572,3.572,3.567,3.567
1998-04-06T01:00:00+03:00,3.681,3.681,3.681,3.681
1998-05-18T01:00:00+03:00,3.653,3.653,3.653,3.653
1998-05-25T01:00:00+03:00,3.634,3.653,3.634,3.653
1998-06-01T01:00:00+03:00,3.643,3.652,3.643,3.652
1998-06-08T01:00:00+03:00,3.655,3.678,3.655,3.678
1998-06-15T01:00:00+03:00,3.685,3.685,3.685,3.685
1998-06-22T01:00:00+03:00,3.646,3.667,3.646,3.667
1998-06-29T01:00:00+03:00,3.659,3.667,3.659,3.667
1998-07-06T01:00:00+03:00,3.663,3.668,3.66,3.661
1998-07-13T01:00:00+03:00,3.663,3.663,3.643,3.647
1998-08-10T01:00:00+03:00,3.683,3.683,3.673,3.673
1998-09-07T01:00:00+03:00,3.852,3.852,3.852,3.852
1998-10-05T01:00:00+03:00,4.183,4.183,4.183,4.183
1998-10-12T01:00:00+03:00,4.172,4.172,4.157,4.157
1998-10-19T01:00:00+03:00,4.253,4.253,4.253,4.253
1998-10-26T00:00:00+02:00,4.179,4.253,4.179,4.253
1998-11-02T00:00:00+02:00,4.29,4.306,4.29,4.306
1998-11-09T00:00:00+02:00,4.303,4.303,4.192,4.192
1998-11-16T00:00:00+02:00,4.145,4.175,4.126,4.175
1998-11-23T00:00:00+02:00,4.192,4.198,4.159,4.198
1998-11-30T00:00:00+02:00,4.182,4.186,4.179,4.186
1998-12-07T00:00:00+02:00,4.184,4.184,4.184,4.184
1998-12-14T00:00:00+02:00,4.184,4.192,4.159,4.189
1998-12-21T00:00:00+02:00,4.189,4.189,4.181,4.181
1998-12-28T00:00:00+02:00,4.171,4.171,4.154,4.16
1999-01-04T00:00:00+02:00,4.135,4.135,4.005,4.07
1999-01-11T00:00:00+02:00,4.05,4.104,4.05,4.087
1999-01-18T00:00:00+02:00,4.045,4.06,4.04,4.055
1999-01-25T00:00:00+02:00,4.079,4.102,4.02,4.102
1999-02-01T00:00:00+02:00,4.075,4.078,4.015,4.078
1999-02-08T00:00:00+02:00,4.078,4.078,4,4.052
1999-02-15T00:00:00+02:00,4.047,4.057,4.047,4.057
1999-02-22T00:00:00+02:00,4.045,4.048,4.04,4.04
1999-03-01T00:00:00+02:00,4.037,4.045,4.031,4.031
1999-03-08T00:00:00+02:00,4.017,4.023,3.989,3.992
1999-03-15T00:00:00+02:00,4.012,4.03,3.996,4
1999-03-22T00:00:00+02:00,4.017,4.063,3.999,4.049
1999-03-29T01:00:00+03:00,4.028,4.045,4.008,4.045
1999-04-05T01:00:00+03:00,4.025,4.043,4.015,4.025
1999-04-12T01:00:00+03:00,4.025,4.025,4.01,4.012
1999-04-19T01:00:00+03:00,4.024,4.03,4.021,4.021
1999-04-26T01:00:00+03:00,4.045,4.136,4.045,4.136
1999-05-03T01:00:00+03:00,4.108,4.12,4.075,4.097
1999-05-10T01:00:00+03:00,4.11,4.13,4.076,4.076
1999-05-17T01:00:00+03:00,4.076,4.084,4.05,4.08
1999-05-24T01:00:00+03:00,4.105,4.127,4.088,4.088
1999-05-31T01:00:00+03:00,4.135,4.135,4.066,4.073
1999-06-07T01:00:00+03:00,4.085,4.088,4.054,4.054
1999-06-14T01:00:00+03:00,4.068,4.083,4.06,4.068
1999-06-21T01:00:00+03:00,4.079,4.121,4.07,4.101
1999-06-28T01:00:00+03:00,4.065,4.095,4.057,4.071
1999-07-05T01:00:00+03:00,4.08,4.0962,4.07,4.086
1999-07-12T01:00:00+03:00,4.085,4.098,4.07,4.08
1999-07-19T01:00:00+03:00,4.08,4.103,4.069,4.098
1999-07-26T01:00:00+03:00,4.089,4.159,4.089,4.148
1999-08-02T01:00:00+03:00,4.15,4.182,4.13,4.168
1999-08-09T01:00:00+03:00,4.137,4.213,4.137,4.201
1999-08-16T01:00:00+03:00,4.156,4.235,4.156,4.235
1999-08-23T01:00:00+03:00,4.212,4.261,4.18,4.234
1999-08-30T01:00:00+03:00,4.22,4.242,4.2,4.235
1999-09-06T01:00:00+03:00,4.205,4.239,4.19,4.21
1999-09-13T01:00:00+03:00,4.21,4.243,4.21,4.215
1999-09-20T01:00:00+03:00,4.215,4.286,4.215,4.284
1999-09-27T01:00:00+03:00,4.271,4.32,4.25,4.262
1999-10-04T01:00:00+03:00,4.25,4.266,4.25,4.265
1999-10-11T01:00:00+03:00,4.235,4.27,4.235,4.258
1999-10-18T01:00:00+03:00,4.24,4.278,4.24,4.278
1999-10-25T01:00:00+03:00,4.25,4.271,4.239,4.246
