time,open,high,low,close
1973-01-01T00:00:00+02:00,8.02,8.02,8,8.01
1973-01-08T00:00:00+02:00,8,8,8,8
1973-01-15T00:00:00+02:00,8,8.01,8,8
1973-01-22T00:00:00+02:00,8,8,8,8
1973-01-29T00:00:00+02:00,8.01,8.01,8,8
1973-02-05T00:00:00+02:00,7.97,8.01,7.97,8.01
1973-02-12T00:00:00+02:00,7.58,7.58,7.58,7.58
1973-02-19T00:00:00+02:00,7.58,7.58,7.58,7.58
1973-02-26T00:00:00+02:00,7.55,7.55,7.52,7.55
1973-03-05T00:00:00+02:00,7.35,7.55,7.19,7.55
1973-03-12T00:00:00+02:00,7.52,7.94,7.52,7.81
1973-03-19T00:00:00+02:00,7.6,7.6,7.58,7.58
1973-03-26T00:00:00+02:00,7.58,7.58,7.55,7.55
1973-04-02T00:00:00+02:00,7.58,7.58,7.55,7.55
1973-04-09T00:00:00+02:00,7.55,7.55,7.5,7.52
1973-04-16T00:00:00+02:00,7.52,7.55,7.52,7.55
1973-04-23T00:00:00+02:00,7.55,7.58,7.55,7.58
1973-04-30T00:00:00+02:00,7.53,7.55,7.52,7.55
1973-05-07T00:00:00+02:00,7.55,7.55,7.52,7.52
1973-05-14T00:00:00+02:00,7.46,7.52,7.46,7.52
1973-05-21T00:00:00+02:00,7.52,7.52,7.41,7.41
1973-05-28T00:00:00+02:00,7.4,7.4,7.25,7.25
1973-06-04T01:00:00+03:00,7.22,7.3,7.22,7.3
1973-06-11T01:00:00+03:00,7.3,7.33,7.26,7.3
1973-06-18T01:00:00+03:00,7.25,7.3,7.25,7.3
1973-06-25T01:00:00+03:00,7.27,7.3,7.27,7.3
1973-07-02T01:00:00+03:00,7.3,7.3,7.27,7.3
1973-07-09T01:00:00+03:00,7.3,7.3,7.25,7.3
1973-07-16T01:00:00+03:00,7.3,7.41,7.27,7.41
1973-07-23T01:00:00+03:00,7.41,7.49,7.41,7.49
1973-07-30T01:00:00+03:00,7.49,7.49,7.49,7.49
1973-08-06T01:00:00+03:00,7.52,7.52,7.46,7.49
1973-08-13T01:00:00+03:00,7.62,7.66,7.58,7.66
1973-08-20T01:00:00+03:00,7.66,7.66,7.6,7.6
1973-08-27T01:00:00+03:00,7.58,7.58,7.55,7.58
1973-09-03T01:00:00+03:00,7.58,7.58,7.55,7.58
1973-09-10T01:00:00+03:00,7.6,7.78,7.6,7.78
1973-09-17T01:00:00+03:00,7.75,7.78,7.75,7.75
1973-09-24T01:00:00+03:00,7.72,7.75,7.72,7.75
1973-10-01T01:00:00+03:00,7.72,7.78,7.72,7.78
1973-10-08T01:00:00+03:00,7.78,7.78,7.75,7.75
1973-10-15T01:00:00+03:00,7.78,7.78,7.69,7.69
1973-10-22T01:00:00+03:00,7.69,7.69,7.69,7.69
1973-10-29T01:00:00+03:00,7.69,7.69,7.68,7.68
1973-11-05T00:00:00+02:00,7.7,7.78,7.7,7.78
1973-11-12T00:00:00+02:00,7.69,7.86,7.69,7.86
1973-11-19T00:00:00+02:00,7.86,8,7.83,8
1973-11-26T00:00:00+02:00,8,8.06,8,8.06
1973-12-03T00:00:00+02:00,8.03,8.06,8.03,8.06
1973-12-10T00:00:00+02:00,8.06,8.13,8.06,8.13
1973-12-17T00:00:00+02:00,8.2,8.2,8.12,8.12
1973-12-24T00:00:00+02:00,8.12,8.16,8.12,8.16
1973-12-31T00:00:00+02:00,8.16,8.21,8.16,8.21
1974-01-07T00:00:00+02:00,8.21,8.4,8.21,8.4
1974-01-14T00:00:00+02:00,8.36,8.58,8.36,8.58
1974-01-21T00:00:00+02:00,8.58,8.62,8.58,8.62
1974-01-28T00:00:00+02:00,8.55,8.55,8.23,8.23
1974-02-04T00:00:00+02:00,8.23,8.37,8.23,8.37
1974-02-11T00:00:00+02:00,8.37,8.37,8.23,8.23
1974-02-18T00:00:00+02:00,8.23,8.23,8.2,8.2
1974-02-25T00:00:00+02:00,8.2,8.2,8.16,8.2
1974-03-04T00:00:00+02:00,8.2,8.2,8.08,8.1
1974-03-11T00:00:00+02:00,8.1,8.1,8.03,8.03
1974-03-18T00:00:00+02:00,8.03,8.03,7.97,7.97
1974-03-25T00:00:00+02:00,7.97,7.97,7.81,7.81
1974-04-01T01:00:00+03:00,7.81,7.84,7.81,7.84
1974-04-08T01:00:00+03:00,7.84,7.97,7.81,7.97
1974-04-15T01:00:00+03:00,7.97,8,7.87,7.87
1974-04-22T01:00:00+03:00,7.87,7.87,7.81,7.81
1974-04-29T01:00:00+03:00,7.81,7.81,7.75,7.75
1974-05-06T01:00:00+03:00,7.75,7.87,7.72,7.72
1974-05-13T01:00:00+03:00,7.72,7.81,7.72,7.81
1974-05-20T01:00:00+03:00,7.81,7.84,7.81,7.81
1974-05-27T01:00:00+03:00,7.81,7.87,7.81,7.87
1974-06-03T01:00:00+03:00,7.87,7.87,7.81,7.81
1974-06-10T01:00:00+03:00,7.81,7.87,7.81,7.87
1974-06-17T01:00:00+03:00,7.87,7.87,7.87,7.87
1974-06-24T01:00:00+03:00,7.87,7.87,7.81,7.87
1974-07-01T01:00:00+03:00,7.81,7.87,7.81,7.87
1974-07-08T01:00:00+03:00,7.81,7.87,7.81,7.87
1974-07-15T01:00:00+03:00,7.81,7.87,7.81,7.87
1974-07-22T01:00:00+03:00,7.81,7.87,7.81,7.87
1974-07-29T01:00:00+03:00,7.87,7.87,7.81,7.81
1974-08-05T01:00:00+03:00,7.87,7.94,7.87,7.94
1974-08-12T01:00:00+03:00,7.94,8.06,7.94,8.06
1974-08-19T01:00:00+03:00,8.06,8.06,8.06,8.06
1974-08-26T01:00:00+03:00,8.06,8.13,8.06,8.13
1974-09-02T01:00:00+03:00,8.13,8.13,8.13,8.13
1974-09-09T01:00:00+03:00,8.13,8.13,8.12,8.12
1974-09-16T01:00:00+03:00,8.12,8.12,8.12,8.12
1974-09-23T01:00:00+03:00,8.12,8.12,8.12,8.12
1974-09-30T01:00:00+03:00,8.06,8.06,8.03,8.03
1974-10-07T01:00:00+03:00,8.06,8.06,8.03,8.03
1974-10-14T01:00:00+03:00,8.03,8.06,8.03,8.06
1974-10-21T01:00:00+03:00,8.06,8.06,8.06,8.06
1974-10-28T01:00:00+03:00,8.06,8.06,8.06,8.06
1974-11-04T00:00:00+02:00,8.06,8.06,8.03,8.03
