time,open,high,low,close
1997-08-18T01:00:00+03:00,70.5,71.96,70.5,71.96
1997-08-25T01:00:00+03:00,70.5,72.27,70.5,71.53
1997-09-01T01:00:00+03:00,70.5,70.5,70.5,70.5
1997-09-22T01:00:00+03:00,70.95,70.95,70.95,70.95
1997-09-29T01:00:00+03:00,70.5,71.09,70.5,71.09
1997-10-06T01:00:00+03:00,70.5,71.02,70.5,71.02
1997-10-13T01:00:00+03:00,71.06,71.53,71.06,71.53
1997-10-20T01:00:00+03:00,71.7,72.5,70.5,72.21
1997-11-03T00:00:00+02:00,72.5,72.5,70.57,70.57
1997-12-15T00:00:00+02:00,71.49,71.49,71.49,71.49
1998-01-05T00:00:00+02:00,72.57,72.57,72.57,72.57
1998-02-02T00:00:00+02:00,71.82,71.82,71.82,71.82
1998-02-09T00:00:00+02:00,72.17,72.17,72.17,72.17
1998-03-23T00:00:00+02:00,71.97,71.97,71.97,71.97
1998-04-06T01:00:00+03:00,72.38,72.38,72.38,72.38
1998-04-20T01:00:00+03:00,71.16,71.16,71.16,71.16
1998-05-11T01:00:00+03:00,72.4,72.4,72.4,72.4
1998-05-18T01:00:00+03:00,71.31,71.31,70.79,70.79
1998-05-25T01:00:00+03:00,72.4,72.4,71,71.35
1998-06-01T01:00:00+03:00,71.13,71.13,70.72,70.72
1998-06-08T01:00:00+03:00,70.83,71.08,70.83,71.08
1998-06-22T01:00:00+03:00,71.04,71.04,71.03,71.03
1998-06-29T01:00:00+03:00,71.77,71.77,71.45,71.45
1998-07-06T01:00:00+03:00,71.72,72.05,71.72,71.9
1998-07-13T01:00:00+03:00,71.79,71.79,71.1,71.1
1998-08-10T01:00:00+03:00,71.84,71.84,71.57,71.57
1998-09-07T01:00:00+03:00,69.47,69.47,69.47,69.47
1998-09-14T01:00:00+03:00,69.48,69.48,69.48,69.48
1998-10-05T01:00:00+03:00,67.88,67.88,67.88,67.88
1998-10-12T01:00:00+03:00,68.15,68.36,68.15,68.36
1998-10-19T01:00:00+03:00,68.21,68.21,68.21,68.21
1998-10-26T00:00:00+02:00,68.78,68.93,68.78,68.93
1998-11-02T00:00:00+02:00,68.99,69.68,68.99,69.21
1998-11-09T00:00:00+02:00,69.67,70.38,69.67,70.12
1998-11-16T00:00:00+02:00,69.46,69.88,69.36,69.88
1998-11-23T00:00:00+02:00,70.34,70.6,70.32,70.6
1998-11-30T00:00:00+02:00,70.42,70.42,69.59,69.59
1998-12-07T00:00:00+02:00,69.64,69.64,69.64,69.64
1998-12-14T00:00:00+02:00,69.64,69.64,69.29,69.29
1998-12-21T00:00:00+02:00,69.28,69.52,69.28,69.33
1998-12-28T00:00:00+02:00,69.37,69.37,69.2,69.32
1999-01-04T00:00:00+02:00,69.32,69.6,69.07,69.6
1999-01-11T00:00:00+02:00,69.36,69.8,69.04,69.04
1999-01-18T00:00:00+02:00,69.2,69.34,69.13,69.13
1999-01-25T00:00:00+02:00,69.21,70.03,69.17,70.03
1999-02-01T00:00:00+02:00,70.26,70.31,70.13,70.31
1999-02-08T00:00:00+02:00,70.31,70.54,70.31,70.54
1999-02-15T00:00:00+02:00,71.26,71.75,71.07,71.75
1999-02-22T00:00:00+02:00,72.04,72.19,71.88,71.98
1999-03-01T00:00:00+02:00,72.39,72.75,72.3,72.53
1999-03-08T00:00:00+02:00,72.35,72.35,71.43,71.85
1999-03-15T00:00:00+02:00,71.88,71.95,71.54,71.72
1999-03-22T00:00:00+02:00,71.54,72.73,71.54,72.62
1999-03-29T01:00:00+03:00,72.49,72.81,72.37,72.48
1999-04-05T01:00:00+03:00,72.6,73.19,72.56,73
1999-04-12T01:00:00+03:00,72.82,72.97,72.77,72.91
1999-04-19T01:00:00+03:00,73.11,73.36,73.11,73.3
1999-04-26T01:00:00+03:00,73.39,73.63,73,73.63
1999-05-03T01:00:00+03:00,74.01,74.01,73.18,73.23
1999-05-10T01:00:00+03:00,73.31,74,73.31,73.47
1999-05-17T01:00:00+03:00,73.34,73.86,73.2,73.86
1999-05-24T01:00:00+03:00,73.54,74.59,73.54,74.5
1999-05-31T01:00:00+03:00,74.34,74.93,74.34,74.87
1999-06-07T01:00:00+03:00,74.8,74.94,73.65,73.65
1999-06-14T01:00:00+03:00,73.7,74.51,73.7,74.22
1999-06-21T01:00:00+03:00,74.12,74.84,73.7,73.7
1999-06-28T01:00:00+03:00,73.8,74.83,73.18,74.62
1999-07-05T01:00:00+03:00,74.89,75.4,74.75,75.3
1999-07-12T01:00:00+03:00,75.32,75.62,75,75
1999-07-19T01:00:00+03:00,75,75.33,73.73,73.73
1999-07-26T01:00:00+03:00,73.71,73.71,72.43,72.43
1999-08-02T01:00:00+03:00,72.7,72.79,72.2,72.49
