time,open,high,low,close
1981-04-13T01:00:00+03:00,675.4,676.75,675.4,676.75
1981-04-20T01:00:00+03:00,676.7,678.1,676.7,678.1
1981-04-27T01:00:00+03:00,678.1,679.6,678.1,679.6
1981-05-04T01:00:00+03:00,679.6,680.4,679.6,680.4
1981-05-11T01:00:00+03:00,680.4,682.8,680.4,682.8
1981-05-18T01:00:00+03:00,682.9,683.1,682.9,683.1
1981-05-25T01:00:00+03:00,683.8,684.4,683.8,684.4
1981-06-01T01:00:00+03:00,684.4,684.6,684.4,684.6
1981-06-08T01:00:00+03:00,684.6,684.6,684.6,684.6
1981-06-15T01:00:00+03:00,684.6,684.6,684.6,684.6
1981-06-22T01:00:00+03:00,684.6,684.6,683.2,683.2
1981-06-29T01:00:00+03:00,683.2,686.1,683.2,686.1
1981-07-06T01:00:00+03:00,686.1,686.7,686.1,686.7
1981-07-13T01:00:00+03:00,686.7,686.7,686.7,686.7
1981-07-20T01:00:00+03:00,686.7,686.7,686.7,686.7
1981-07-27T01:00:00+03:00,686.7,686.95,686.7,686.95
1981-08-03T01:00:00+03:00,687.25,687.85,687.25,687.85
1981-08-10T01:00:00+03:00,687.85,687.85,687.85,687.85
1981-08-17T01:00:00+03:00,687.85,687.85,687.85,687.85
1981-08-24T01:00:00+03:00,687.85,687.85,687.85,687.85
1981-08-31T01:00:00+03:00,687.85,687.85,687.85,687.85
1981-09-07T01:00:00+03:00,687.85,687.85,687.85,687.85
1981-09-14T01:00:00+03:00,688.1,688.1,688.1,688.1
1981-09-21T01:00:00+03:00,688.1,688.1,681.25,681.25
1981-09-28T01:00:00+03:00,681.25,681.25,681.25,681.25
1981-10-05T01:00:00+03:00,688.1,688.1,681.25,681.25
1981-10-12T01:00:00+03:00,681.25,685.25,681.25,685.25
1981-10-19T01:00:00+03:00,685.25,685.25,685.25,685.25
1981-10-26T01:00:00+03:00,685.25,688.25,685.25,688.25
1981-11-02T01:00:00+03:00,688.25,688.25,688.25,688.25
1981-11-09T01:00:00+03:00,688.25,688.45,688.25,688.45
1981-11-16T01:00:00+03:00,688.45,688.45,688.45,688.45
1981-11-23T01:00:00+03:00,688.45,689.9,688.45,689.9
1981-11-30T01:00:00+03:00,689.9,691.75,689.9,691.75
1981-12-07T01:00:00+03:00,691.75,691.75,691.75,691.75
1981-12-14T01:00:00+03:00,695.3,696.45,695.3,696.45
1981-12-21T01:00:00+03:00,696.45,696.45,696.45,696.45
1981-12-28T01:00:00+03:00,696.45,700.75,696.45,700.75
1982-01-04T01:00:00+03:00,701.25,702.95,701.25,702.95
1982-01-11T01:00:00+03:00,702.95,705.55,702.95,705.55
1982-01-18T01:00:00+03:00,705.55,707.15,705.55,707.15
1982-01-25T01:00:00+03:00,707.15,708.55,707.15,708.55
1982-02-01T01:00:00+03:00,708.55,709.25,708.55,709.25
1982-02-08T01:00:00+03:00,709.25,709.75,709.25,709.75
1982-02-15T01:00:00+03:00,710.8,710.8,710.8,710.8
1982-02-22T01:00:00+03:00,710.8,711.45,710.8,711.45
1982-03-01T01:00:00+03:00,712.15,712.45,712.15,712.45
1982-03-08T01:00:00+03:00,712.45,712.45,712.45,712.45
1982-03-15T01:00:00+03:00,714.55,715.55,714.55,715.55
1982-03-22T01:00:00+03:00,716.25,717.45,716.25,717.45
1982-03-29T01:00:00+03:00,718.15,719.15,718.15,719.15
1982-04-05T01:00:00+03:00,719.15,721.25,719.15,721.25
1982-04-12T01:00:00+03:00,721.25,721.85,721.25,721.85
1982-04-19T01:00:00+03:00,721.85,721.95,721.85,721.95
1982-04-26T01:00:00+03:00,721.95,721.95,721.95,721.95
1982-05-03T01:00:00+03:00,721.95,721.95,721.95,721.95
1982-05-10T01:00:00+03:00,721.95,723.95,721.95,723.95
1982-05-17T01:00:00+03:00,724.55,725.35,724.55,725.35
1982-05-24T01:00:00+03:00,725.35,731.75,725.35,731.75
1982-05-31T01:00:00+03:00,731.75,735.75,731.75,735.75
1982-06-07T01:00:00+03:00,735.75,738.55,735.75,738.55
1982-06-14T01:00:00+03:00,738.55,739.55,738.55,739.55
1982-06-21T01:00:00+03:00,740.05,741.3,740.05,741.3
1982-06-28T01:00:00+03:00,741.3,744,741.3,744
1982-07-05T01:00:00+03:00,744,744,744,744
1982-07-12T01:00:00+03:00,744,744,741.65,741.65
1982-07-19T01:00:00+03:00,741.65,743,741.65,743
1982-07-26T01:00:00+03:00,743,743.8,743,743.8
1982-08-02T01:00:00+03:00,743.8,743.8,743.8,743.8
1982-08-09T01:00:00+03:00,743.8,744.9,743.8,744.9
1982-08-16T01:00:00+03:00,744.9,744.9,744.9,744.9
1982-08-23T01:00:00+03:00,744.9,744.9,744.9,744.9
1982-08-30T01:00:00+03:00,744.9,744.9,744.9,744.9
1982-09-06T01:00:00+03:00,744.9,744.9,744.9,744.9
1982-09-13T01:00:00+03:00,744.9,744.9,742.75,742.75
1982-09-20T01:00:00+03:00,742.75,742.75,742.75,742.75
1982-09-27T01:00:00+03:00,742.75,743.05,742.75,743.05
1982-10-04T01:00:00+03:00,743.05,743.45,743.05,743.45
1982-10-11T01:00:00+03:00,743.45,743.45,743.45,743.45
1982-10-18T01:00:00+03:00,743.45,743.55,743.45,743.55
1982-10-25T01:00:00+03:00,744.1,744.65,744.1,744.65
1982-11-01T01:00:00+03:00,745.05,746.15,745.05,745.55
1982-11-08T01:00:00+03:00,745.55,745.65,745.55,745.65
1982-11-15T01:00:00+03:00,745.65,745.65,745.65,745.65
1982-11-22T01:00:00+03:00,745.65,745.65,745.65,745.65
1982-11-29T01:00:00+03:00,745.65,745.65,745.65,745.65
1982-12-06T01:00:00+03:00,745.65,745.65,745.65,745.65
1982-12-13T01:00:00+03:00,745.65,745.65,745.65,745.65
