time,open,high,low,close
1997-08-18T01:00:00+03:00,1533,1540,1533,1533
1997-08-25T01:00:00+03:00,1531,1531,1531,1531
1997-09-08T01:00:00+03:00,1530,1538,1530,1530
1997-09-15T01:00:00+03:00,1530,1534.25,1530,1530
1997-09-22T01:00:00+03:00,1529,1529,1528,1528
1997-09-29T01:00:00+03:00,1528,1528,1528,1528
1997-10-06T01:00:00+03:00,1528,1537,1527,1527
1997-10-13T01:00:00+03:00,1527,1536,1527,1527
1997-10-20T01:00:00+03:00,1527,1537,1526,1526
1997-10-27T00:00:00+02:00,1536,1536,1526,1526
1997-11-03T00:00:00+02:00,1535,1535,1525,1525
1997-11-10T00:00:00+02:00,1525,1525,1525,1525
1997-11-17T00:00:00+02:00,1535,1535,1535,1535
1997-11-24T00:00:00+02:00,1524.5,1524.5,1524.5,1524.5
1997-12-01T00:00:00+02:00,1526,1526,1526,1526
1997-12-08T00:00:00+02:00,1531,1531,1531,1531
1997-12-15T00:00:00+02:00,1523,1523,1523,1523
1997-12-22T00:00:00+02:00,1522,1522,1522,1522
1997-12-29T00:00:00+02:00,1522,1522,1522,1522
1998-01-05T00:00:00+02:00,1522,1523,1522,1523
1998-01-12T00:00:00+02:00,1523,1523,1522,1522
1998-01-19T00:00:00+02:00,1528,1528,1522,1522
1998-01-26T00:00:00+02:00,1525.5,1525.5,1520,1520
1998-02-02T00:00:00+02:00,1520,1520,1500,1520
1998-02-09T00:00:00+02:00,1525.5,1525.5,1520,1520
1998-02-16T00:00:00+02:00,1519,1519,1519,1519
1998-02-23T00:00:00+02:00,1519,1519,1518,1518
1998-03-02T00:00:00+02:00,1518,1518,1517,1517
1998-03-09T00:00:00+02:00,1517,1517,1517,1517
1998-03-16T00:00:00+02:00,1517,1517,1516,1516
1998-03-23T00:00:00+02:00,1516,1516,1516,1516
1998-03-30T01:00:00+03:00,1515,1527.8,1515,1515
1998-04-06T01:00:00+03:00,1529,1529,1515,1515
1998-04-13T01:00:00+03:00,1515,1528.5,1515,1515
1998-04-20T01:00:00+03:00,1527.7,1527.7,1515,1515
1998-04-27T01:00:00+03:00,1515,1525.7,1514,1514
1998-05-04T01:00:00+03:00,1514,1515.75,1514,1514
1998-05-11T01:00:00+03:00,1514,1514,1513,1513
1998-05-18T01:00:00+03:00,1513,1513,1513,1513
1998-05-25T01:00:00+03:00,1512,1512,1512,1512
1998-06-01T01:00:00+03:00,1512,1512.5,1512,1512
1998-06-08T01:00:00+03:00,1512,1512.25,1511,1511
1998-06-15T01:00:00+03:00,1511,1511,1511,1511
1998-06-22T01:00:00+03:00,1512,1512,1510,1510
1998-06-29T01:00:00+03:00,1510.63,1510.63,1510,1510
1998-07-06T01:00:00+03:00,1510.13,1510.13,1510,1510
1998-07-13T01:00:00+03:00,1510.13,1510.13,1510,1510
1998-07-20T01:00:00+03:00,1508,1508,1508,1508
1998-07-27T01:00:00+03:00,1508,1509,1507,1507
1998-08-03T01:00:00+03:00,1507,1509,1507,1507
1998-08-10T01:00:00+03:00,1510,1510,1507,1507
1998-08-17T01:00:00+03:00,1519,1519,1507,1507
1998-08-24T01:00:00+03:00,1506,1506,1506,1506
1998-08-31T01:00:00+03:00,1506,1520.5,1506,1506
1998-09-07T01:00:00+03:00,1517.5,1517.5,1505,1505
1998-09-14T01:00:00+03:00,1505,1517.5,1505,1505
1998-09-21T01:00:00+03:00,1512.64,1513.25,1505,1505
1998-09-28T01:00:00+03:00,1512,1512,1512,1512
1998-10-05T01:00:00+03:00,1502.98,1502.98,1501.74,1502
