time,open,high,low,close
1971-01-04T00:00:00+02:00,3.0867,3.0867,3.0845,3.0845
1971-01-11T00:00:00+02:00,3.0814,3.0814,3.075,3.0764
1971-01-18T00:00:00+02:00,3.0755,3.0755,3.0703,3.0703
1971-01-25T00:00:00+02:00,3.0675,3.0675,3.0647,3.0647
1971-02-01T00:00:00+02:00,3.0631,3.0689,3.0631,3.0689
1971-02-08T00:00:00+02:00,3.0687,3.0691,3.0665,3.0665
1971-02-15T00:00:00+02:00,3.0659,3.0659,3.065,3.065
1971-02-22T00:00:00+02:00,3.065,3.0662,3.065,3.0662
1971-03-01T00:00:00+02:00,3.0675,3.0675,3.0659,3.0662
1971-03-08T00:00:00+02:00,3.0647,3.0662,3.0647,3.0653
1971-03-15T00:00:00+02:00,3.0653,3.0662,3.0653,3.0656
1971-03-22T00:00:00+02:00,3.0653,3.0662,3.0653,3.0662
1971-03-29T00:00:00+02:00,3.0659,3.0703,3.0659,3.0703
1971-04-05T00:00:00+02:00,3.0703,3.0703,3.0675,3.0691
1971-04-12T00:00:00+02:00,3.0687,3.0691,3.0659,3.0659
1971-04-19T00:00:00+02:00,3.0653,3.0656,3.0653,3.0656
1971-04-26T00:00:00+02:00,3.0656,3.0656,3.0653,3.0653
1971-05-03T00:00:00+02:00,3.0653,3.067,3.064,3.064
1971-05-10T00:00:00+02:00,3.0669,3.0675,3.0659,3.0665
1971-05-17T00:00:00+02:00,3.0615,3.0615,3.0597,3.0597
1971-05-24T00:00:00+02:00,3.0609,3.0618,3.06,3.06
1971-05-31T00:00:00+02:00,3.0609,3.0609,3.0572,3.0586
1971-06-07T00:00:00+02:00,3.0572,3.0572,3.0544,3.0544
1971-06-14T00:00:00+02:00,3.053,3.0562,3.053,3.0544
1971-06-21T00:00:00+02:00,3.0553,3.0604,3.0548,3.0558
1971-06-28T00:00:00+02:00,3.0558,3.0558,3.0548,3.0548
1971-07-05T00:00:00+02:00,3.0553,3.0553,3.0553,3.0553
1971-07-12T00:00:00+02:00,3.0553,3.0553,3.0553,3.0553
1971-07-19T00:00:00+02:00,3.0553,3.0553,3.0528,3.0548
1971-07-26T00:00:00+02:00,3.0553,3.0558,3.0553,3.0553
1971-08-02T00:00:00+02:00,3.0562,3.0567,3.0558,3.0558
1971-08-09T00:00:00+02:00,3.0531,3.0534,3.0531,3.0531
1971-08-30T00:00:00+02:00,3.0084,3.0084,3.0084,3.0084
1971-09-06T00:00:00+02:00,3.0084,3.0084,3.0026,3.0026
1971-09-13T00:00:00+02:00,3.003,3.0303,2.9976,2.9976
1971-09-20T00:00:00+02:00,2.9963,2.9963,2.9869,2.9869
1971-09-27T00:00:00+02:00,2.9757,2.9972,2.974,2.974
1971-10-04T00:00:00+02:00,2.9806,2.9878,2.9784,2.9784
1971-10-11T00:00:00+02:00,2.9855,2.9855,2.9784,2.9788
1971-10-18T00:00:00+02:00,2.9784,2.9784,2.9757,2.9766
1971-10-25T00:00:00+02:00,2.9735,2.9757,2.9718,2.9753
1971-11-01T00:00:00+02:00,2.9753,2.9762,2.9744,2.9757
1971-11-08T00:00:00+02:00,2.9744,2.9771,2.9744,2.9762
1971-11-15T00:00:00+02:00,2.97,2.9762,2.97,2.9749
1971-11-22T00:00:00+02:00,2.9749,2.9749,2.9749,2.9749
1971-11-29T00:00:00+02:00,2.9637,2.9753,2.9637,2.9722
1971-12-06T00:00:00+02:00,2.9731,2.9731,2.9397,2.9397
1971-12-13T00:00:00+02:00,2.9412,2.9412,2.9264,2.9264
1971-12-20T00:00:00+02:00,2.8969,2.8969,2.8885,2.8889
1971-12-27T00:00:00+02:00,2.8885,2.9015,2.8885,2.8998
1972-01-03T00:00:00+02:00,2.8902,2.8985,2.886,2.8902
1972-01-10T00:00:00+02:00,2.8944,2.9002,2.8818,2.8818
1972-01-17T00:00:00+02:00,2.8653,2.8736,2.8653,2.8736
1972-01-24T00:00:00+02:00,2.8694,2.8736,2.8571,2.8571
1972-01-31T00:00:00+02:00,2.8506,2.8653,2.8449,2.8653
1972-02-07T00:00:00+02:00,2.8474,2.849,2.8449,2.849
1972-02-14T00:00:00+02:00,2.849,2.849,2.8449,2.849
1972-02-21T00:00:00+02:00,2.8571,2.8571,2.8571,2.8571
1972-02-28T00:00:00+02:00,2.8571,2.8571,2.8369,2.8571
