time,open,high,low,close
1996-10-14T01:00:00+03:00,0.7025,0.7037,0.7025,0.7037
2006-01-23T00:00:00+02:00,1.4705,1.4781,1.4506,1.466
2006-01-30T00:00:00+02:00,1.4671,1.4708,1.4461,1.4539
2006-02-06T00:00:00+02:00,1.4535,1.4828,1.4534,1.474
2006-02-13T00:00:00+02:00,1.4733,1.5092,1.4701,1.4962
2006-02-20T00:00:00+02:00,1.4956,1.523,1.4906,1.5087
2006-02-27T00:00:00+02:00,1.5085,1.5209,1.4953,1.5026
2006-03-06T00:00:00+02:00,1.5015,1.5621,1.4986,1.5593
2006-03-13T00:00:00+02:00,1.5586,1.5855,1.5451,1.575
2006-03-20T00:00:00+02:00,1.5746,1.6434,1.5731,1.6432
2006-03-27T01:00:00+03:00,1.6432,1.668,1.6218,1.6226
2006-04-03T01:00:00+03:00,1.6234,1.6617,1.6169,1.6438
2006-04-10T01:00:00+03:00,1.6433,1.6491,1.5985,1.6187
2006-04-17T01:00:00+03:00,1.6179,1.6189,1.5728,1.5765
2006-04-24T01:00:00+03:00,1.5753,1.6033,1.5662,1.5667
2006-05-01T01:00:00+03:00,1.5674,1.577,1.552,1.5564
2006-05-08T01:00:00+03:00,1.5566,1.6105,1.5557,1.5929
2006-05-15T01:00:00+03:00,1.5878,1.6241,1.5878,1.6121
2006-05-22T01:00:00+03:00,1.6158,1.627,1.5592,1.5755
2006-05-29T01:00:00+03:00,1.5755,1.6041,1.5562,1.586
2006-06-05T01:00:00+03:00,1.584,1.605,1.5746,1.5768
2006-06-12T01:00:00+03:00,1.5805,1.6227,1.5785,1.6185
2006-06-19T01:00:00+03:00,1.6226,1.6538,1.6073,1.6445
2006-06-26T01:00:00+03:00,1.6461,1.6858,1.6348,1.6421
2006-07-03T01:00:00+03:00,1.6425,1.6588,1.6349,1.6375
2006-07-10T01:00:00+03:00,1.6362,1.6386,1.6098,1.6116
2006-07-17T01:00:00+03:00,1.6103,1.6206,1.5921,1.6035
2006-07-24T01:00:00+03:00,1.6013,1.6268,1.5943,1.6153
2006-07-31T01:00:00+03:00,1.6166,1.6239,1.5959,1.5959
2006-08-07T01:00:00+03:00,1.5952,1.6064,1.5727,1.5774
2006-08-14T01:00:00+03:00,1.583,1.5925,1.5546,1.5638
2006-08-21T01:00:00+03:00,1.563,1.5787,1.5561,1.5706
2006-08-28T01:00:00+03:00,1.5711,1.5726,1.5225,1.5253
2006-09-04T01:00:00+03:00,1.526,1.5718,1.5207,1.568
2006-09-11T01:00:00+03:00,1.5699,1.5754,1.5038,1.5103
2006-09-18T01:00:00+03:00,1.5067,1.5258,1.5023,1.5133
2006-09-25T01:00:00+03:00,1.511,1.5363,1.4879,1.5305
2006-10-02T01:00:00+03:00,1.5342,1.5402,1.5026,1.5174
2006-10-09T01:00:00+03:00,1.5188,1.5283,1.5113,1.52
2006-10-16T01:00:00+03:00,1.521,1.5267,1.4944,1.4959
2006-10-23T01:00:00+03:00,1.4952,1.5301,1.4952,1.5104
2006-10-30T00:00:00+02:00,1.5117,1.5134,1.4817,1.4923
2006-11-06T00:00:00+02:00,1.4927,1.5111,1.4868,1.5001
2006-11-13T00:00:00+02:00,1.5001,1.5201,1.5001,1.5031
2006-11-20T00:00:00+02:00,1.503,1.5042,1.4845,1.4883
2006-11-27T00:00:00+02:00,1.4874,1.4958,1.4526,1.4532
2006-12-04T00:00:00+02:00,1.4526,1.4661,1.4416,1.4557
2006-12-11T00:00:00+02:00,1.4553,1.4605,1.4405,1.4502
2006-12-18T00:00:00+02:00,1.449,1.4522,1.4264,1.4267
