time,open,high,low,close
1997-08-18T01:00:00+03:00,2.643,2.648,2.643,2.648
1997-08-25T01:00:00+03:00,2.652,2.657,2.652,2.652
1997-09-01T01:00:00+03:00,2.655,2.655,2.655,2.655
1997-09-08T01:00:00+03:00,2.636,2.636,2.636,2.636
1997-09-15T01:00:00+03:00,2.635,2.64,2.635,2.635
1997-09-22T01:00:00+03:00,2.638,2.638,2.638,2.638
1997-09-29T01:00:00+03:00,2.645,2.646,2.635,2.638
1997-10-06T01:00:00+03:00,2.659,2.659,2.638,2.648
1997-10-13T01:00:00+03:00,2.645,2.645,2.645,2.645
1997-10-20T01:00:00+03:00,2.645,2.668,2.645,2.668
1997-10-27T00:00:00+02:00,2.645,2.715,2.645,2.715
1997-11-03T00:00:00+02:00,2.71,2.71,2.655,2.655
1997-11-10T00:00:00+02:00,2.723,2.723,2.723,2.723
1997-11-17T00:00:00+02:00,2.715,2.715,2.715,2.715
1997-11-24T00:00:00+02:00,2.722,2.722,2.722,2.722
1997-12-01T00:00:00+02:00,2.712,2.712,2.712,2.712
1997-12-15T00:00:00+02:00,2.69,2.69,2.69,2.69
1997-12-22T00:00:00+02:00,2.71,2.72,2.7,2.7
1997-12-29T00:00:00+02:00,2.72,2.723,2.72,2.723
1998-01-05T00:00:00+02:00,2.73,2.736,2.73,2.736
1998-01-12T00:00:00+02:00,2.74,2.74,2.74,2.74
1998-01-19T00:00:00+02:00,2.735,2.752,2.735,2.75
1998-02-02T00:00:00+02:00,2.75,2.802,2.75,2.802
1998-02-09T00:00:00+02:00,2.806,2.806,2.806,2.806
1998-02-23T00:00:00+02:00,2.816,2.816,2.816,2.816
1998-03-02T00:00:00+02:00,2.81,2.81,2.806,2.806
1998-03-09T00:00:00+02:00,2.789,2.789,2.789,2.789
1998-03-16T00:00:00+02:00,2.802,2.802,2.79,2.792
1998-03-23T00:00:00+02:00,2.8,2.817,2.8,2.817
1998-03-30T01:00:00+03:00,2.814,2.814,2.8,2.812
1998-04-06T01:00:00+03:00,2.813,2.813,2.81,2.813
1998-04-13T01:00:00+03:00,2.82,2.82,2.82,2.82
1998-04-20T01:00:00+03:00,2.817,2.823,2.817,2.823
1998-04-27T01:00:00+03:00,2.827,2.827,2.823,2.827
1998-05-04T01:00:00+03:00,2.833,2.835,2.833,2.835
1998-05-11T01:00:00+03:00,2.842,2.842,2.84,2.84
1998-05-18T01:00:00+03:00,2.805,2.845,2.805,2.843
1998-06-01T01:00:00+03:00,2.825,2.88,2.825,2.88
1998-06-08T01:00:00+03:00,2.892,2.892,2.892,2.892
1998-07-13T01:00:00+03:00,2.915,2.915,2.915,2.915
