time,open,high,low,close
1997-08-18T01:00:00+03:00,29.9,29.9,29.9,29.9
1997-08-25T01:00:00+03:00,29.9,30.1,29.9,30.1
1997-09-01T01:00:00+03:00,30.7,30.7,30.7,30.7
1997-09-08T01:00:00+03:00,32.2,32.2,32.2,32.2
1997-09-15T01:00:00+03:00,32.2,33.85,32.2,33.3
1997-09-22T01:00:00+03:00,33.35,33.35,33.35,33.35
1997-09-29T01:00:00+03:00,33.8,34.5,33.8,34.5
1997-10-06T01:00:00+03:00,34.95,35,33.3,33.3
1997-10-13T01:00:00+03:00,33.75,33.75,33.7,33.7
1997-10-20T01:00:00+03:00,33.8,35.3,33.8,35.3
1997-10-27T00:00:00+02:00,35.2,35.2,35.2,35.2
1997-11-03T00:00:00+02:00,35.05,35.05,35,35
1997-11-10T00:00:00+02:00,34.8,34.8,33.42,33.88
1997-11-17T00:00:00+02:00,34.7,34.7,34.35,34.35
1997-11-24T00:00:00+02:00,34.45,34.75,34.45,34.75
1997-12-01T00:00:00+02:00,35.15,35.15,35.15,35.15
1997-12-08T00:00:00+02:00,35.05,35.05,35.05,35.05
1997-12-15T00:00:00+02:00,40.2,40.2,40.2,40.2
1997-12-22T00:00:00+02:00,40.05,40.05,39.9,39.9
1997-12-29T00:00:00+02:00,39.95,39.95,39.5,39.5
1998-01-05T00:00:00+02:00,45,45,44.15,44.15
1998-01-12T00:00:00+02:00,41.2,41.3,41.2,41.3
1998-01-19T00:00:00+02:00,41,42.75,41,42.75
1998-01-26T00:00:00+02:00,42.7,42.7,41.5,41.5
1998-02-02T00:00:00+02:00,40.1,40.5,40.1,40.3
1998-02-09T00:00:00+02:00,39.65,40.1,39.2,40.1
1998-02-23T00:00:00+02:00,40,40,40,40
1998-03-02T00:00:00+02:00,39.5,40,39.5,40
1998-03-09T00:00:00+02:00,39.75,39.75,39.75,39.75
1998-03-16T00:00:00+02:00,39.3,39.3,37.7,37.7
1998-03-23T00:00:00+02:00,37.6,37.6,37,37
1998-03-30T01:00:00+03:00,37.25,39,37.25,39
1998-04-06T01:00:00+03:00,37.85,38.05,37.5,37.5
1998-04-13T01:00:00+03:00,38,38.15,37.85,37.85
1998-04-20T01:00:00+03:00,38.08,38.37,38,38.37
1998-04-27T01:00:00+03:00,39.75,40.15,39.75,40.15
1998-05-04T01:00:00+03:00,39.2,39.8,39.2,39.8
1998-05-11T01:00:00+03:00,39.1,39.45,39.1,39.45
1998-05-18T01:00:00+03:00,39.6,39.6,38.48,38.65
1998-05-25T01:00:00+03:00,38.87,38.87,38.87,38.87
1998-06-01T01:00:00+03:00,38.95,38.95,38.95,38.95
1998-06-08T01:00:00+03:00,39.05,40.05,39.05,40.05
1998-06-15T01:00:00+03:00,40.55,40.55,40.55,40.55
1998-06-22T01:00:00+03:00,41.4,41.4,41.4,41.4
1998-07-20T01:00:00+03:00,41.6,42.05,41.6,42
1998-07-27T01:00:00+03:00,41.9,41.9,41.9,41.9
1998-08-03T01:00:00+03:00,42,43.45,42,43.45
1998-08-10T01:00:00+03:00,44.05,44.05,43.2,43.2
1998-08-17T01:00:00+03:00,43,43,42.5,42.75
1998-08-24T01:00:00+03:00,42.5,44.15,39.55,44.15
1998-08-31T01:00:00+03:00,43.7,43.7,43.1,43.33
1998-09-07T01:00:00+03:00,43.37,43.37,43.37,43.37
1998-09-14T01:00:00+03:00,43.68,43.68,43.65,43.65
1998-09-21T01:00:00+03:00,44.2,44.2,43.6,43.6
1998-09-28T01:00:00+03:00,43.7,43.8,43.65,43.8
1998-10-05T01:00:00+03:00,43.8,43.8,42.9,43
1998-10-19T01:00:00+03:00,42.74,42.8,42.4,42.5
1998-10-26T00:00:00+02:00,41.5,41.5,40.28,40.28
