time,open,high,low,close
1999-01-25T00:00:00+02:00,3.5825,3.665,3.5825,3.665
1999-02-01T00:00:00+02:00,3.7225,3.7225,3.685,3.7025
1999-02-08T00:00:00+02:00,3.745,3.76,3.73,3.76
1999-02-15T00:00:00+02:00,3.8125,3.8375,3.79,3.8375
1999-02-22T00:00:00+02:00,3.865,3.8875,3.865,3.8875
1999-03-01T00:00:00+02:00,3.9175,3.9675,3.9175,3.925
1999-03-08T00:00:00+02:00,3.8975,3.9425,3.8975,3.925
1999-03-15T00:00:00+02:00,3.93,3.935,3.8525,3.8975
1999-03-22T00:00:00+02:00,3.8975,3.985,3.885,3.9275
1999-03-29T01:00:00+03:00,3.975,4.03,3.9135,4.01
1999-04-05T01:00:00+03:00,4.01,4.021,3.926,3.9775
1999-04-12T01:00:00+03:00,3.9525,4.0075,3.9525,4.0075
1999-04-19T01:00:00+03:00,3.995,4.025,3.965,3.98
1999-04-26T01:00:00+03:00,3.985,3.99,3.955,3.955
1999-05-03T01:00:00+03:00,3.94,3.94,3.8875,3.8975
1999-05-10T01:00:00+03:00,3.8975,3.945,3.89,3.945
1999-05-17T01:00:00+03:00,3.925,3.9325,3.9125,3.9325
1999-05-24T01:00:00+03:00,3.93,3.9875,3.93,3.975
1999-05-31T01:00:00+03:00,3.9775,4.006,3.969,3.987
1999-06-07T01:00:00+03:00,4,4.01,3.9083,3.911
1999-06-14T01:00:00+03:00,3.9268,3.9525,3.889,3.889
1999-06-21T01:00:00+03:00,3.911,3.9369,3.9,3.9106
1999-06-28T01:00:00+03:00,3.905,3.9485,3.8575,3.9055
1999-07-05T01:00:00+03:00,3.9171,3.9415,3.886,3.9111
1999-07-12T01:00:00+03:00,3.905,3.9348,3.8907,3.9012
1999-07-19T01:00:00+03:00,3.8975,3.9085,3.824,3.845
1999-07-26T01:00:00+03:00,3.8115,3.9035,3.8051,3.8576
1999-08-02T01:00:00+03:00,3.8575,4.0511,3.84,3.945
1999-08-09T01:00:00+03:00,3.95,3.97,3.9065,3.927
1999-08-16T01:00:00+03:00,3.9225,3.9717,3.9225,3.95
1999-08-23T01:00:00+03:00,3.9275,4.0185,3.9275,3.9831
1999-08-30T01:00:00+03:00,3.9775,4.0625,3.9575,4.0155
1999-09-06T01:00:00+03:00,4.055,4.135,3.9975,4.0025
1999-09-13T01:00:00+03:00,4.03,4.1682,4.03,4.115
1999-09-20T01:00:00+03:00,4.101,4.115,4.0525,4.0881
1999-09-27T01:00:00+03:00,4.0775,4.1486,4.0475,4.085
1999-10-04T01:00:00+03:00,4.085,4.0953,4.0585,4.074
1999-10-11T01:00:00+03:00,4.085,4.0852,4.0405,4.0605
1999-10-18T01:00:00+03:00,4.0575,4.1275,4.0575,4.1145
1999-10-25T01:00:00+03:00,4.096,4.231,4.096,4.2045
1999-11-01T00:00:00+02:00,4.215,4.3802,4.1836,4.2655
1999-11-08T00:00:00+02:00,4.2475,4.34,4.17,4.2839
1999-11-15T00:00:00+02:00,4.27,4.318,4.18,4.201
1999-11-22T00:00:00+02:00,4.204,4.26,4.17,4.2538
1999-11-29T00:00:00+02:00,4.22,4.331,4.22,4.223
1999-12-06T00:00:00+02:00,4.2435,4.2435,4.1125,4.1125
1999-12-13T00:00:00+02:00,4.1475,4.2289,4.1325,4.1723
1999-12-20T00:00:00+02:00,4.16,4.1784,4.1077,4.11
1999-12-27T00:00:00+02:00,4.135,4.1492,4.11,4.13
2000-01-03T00:00:00+02:00,4.1325,4.139,4.067,4.0699
2000-01-10T00:00:00+02:00,4.06,4.1075,4.0129,4.06
2000-01-17T00:00:00+02:00,4.07,4.1057,4.0526,4.066
2000-01-24T00:00:00+02:00,4.06,4.2077,4.06,4.1825
2000-01-31T00:00:00+02:00,4.1825,4.2594,4.16,4.17
2000-02-07T00:00:00+02:00,4.17,4.2176,4.1006,4.142
2000-02-14T00:00:00+02:00,4.1475,4.1636,4.0495,4.098
2000-02-21T00:00:00+02:00,4.0885,4.1496,4.0555,4.1464
2000-02-28T00:00:00+02:00,4.195,4.205,4.1025,4.1025
2000-03-06T00:00:00+02:00,4.1025,4.1476,4.0862,4.0953
2000-03-13T00:00:00+02:00,4.0845,4.1113,4.0615,4.0707
2000-03-20T00:00:00+02:00,4.06,4.0768,4.0265,4.0298
2000-03-27T01:00:00+03:00,4.0275,4.159,4.0155,4.1163
2000-04-03T01:00:00+03:00,4.1195,4.2212,4.1195,4.1325
2000-04-10T01:00:00+03:00,4.1325,4.248,4.07,4.2352
2000-04-17T01:00:00+03:00,4.225,4.32,4.1855,4.2926
2000-04-24T01:00:00+03:00,4.2925,4.4934,4.28,4.4704
2000-05-01T01:00:00+03:00,4.465,4.72,4.4479,4.64
2000-05-08T01:00:00+03:00,4.625,4.675,4.395,4.467
2000-05-15T01:00:00+03:00,4.467,4.565,4.35,4.5025
2000-05-22T01:00:00+03:00,4.485,4.6085,4.48,4.5
2000-05-29T01:00:00+03:00,4.4903,4.5075,4.3055,4.3055
2000-06-05T01:00:00+03:00,4.315,4.5611,4.2775,4.38
2000-06-12T01:00:00+03:00,4.42,4.43,4.378,4.385
2000-06-19T01:00:00+03:00,4.393,4.44,4.365,4.44
2000-06-26T01:00:00+03:00,4.4288,4.4625,4.34,4.34
2000-07-03T01:00:00+03:00,4.34,4.36,4.28,4.325
2000-07-10T01:00:00+03:00,4.312,4.3475,4.2385,4.332
2000-07-17T01:00:00+03:00,4.312,4.3525,4.295,4.314
2000-07-24T01:00:00+03:00,4.2825,4.3375,4.2735,4.303
2000-07-31T01:00:00+03:00,4.3375,4.425,4.3325,4.3775
2000-08-07T01:00:00+03:00,4.41,4.41,4.3335,4.3335
2000-08-14T01:00:00+03:00,4.3435,4.369,4.298,4.31
2000-08-21T01:00:00+03:00,4.3075,4.383,4.3075,4.38
2000-08-28T01:00:00+03:00,4.37,4.406,4.362,4.3875
2000-09-04T01:00:00+03:00,4.315,4.436,4.315,4.4125
2000-09-11T01:00:00+03:00,4.4125,4.5175,4.4125,4.4615
2000-09-18T01:00:00+03:00,4.4615,4.64,4.4325,4.5178
2000-09-25T01:00:00+03:00,4.5178,4.581,4.405,4.5125
2000-10-02T01:00:00+03:00,4.5138,4.58,4.505,4.53
2000-10-09T01:00:00+03:00,4.5418,4.7225,4.53,4.6715
2000-10-16T01:00:00+03:00,4.6825,4.7185,4.6605,4.68
2000-10-23T01:00:00+03:00,4.68,4.727,4.6425,4.6675
2000-10-30T00:00:00+02:00,4.67,4.7125,4.485,4.502
2000-11-06T00:00:00+02:00,4.502,4.6105,4.502,4.565
2000-11-13T00:00:00+02:00,4.5645,4.59,4.5475,4.5525
2000-11-20T00:00:00+02:00,4.57,4.6175,4.5275,4.5275
2000-11-27T00:00:00+02:00,4.57,4.598,4.455,4.455
2000-12-04T00:00:00+02:00,4.455,4.497,4.31,4.3975
2000-12-11T00:00:00+02:00,4.3775,4.415,4.3175,4.3175
2000-12-18T00:00:00+02:00,4.3125,4.397,4.165,4.1722
2000-12-25T00:00:00+02:00,4.2,4.2044,4.115,4.1175
2001-01-01T00:00:00+02:00,4.1375,4.206,4.0599,4.0609
2001-01-08T00:00:00+02:00,4.0825,4.16,4.005,4.089
2001-01-15T00:00:00+02:00,4.095,4.121,4.08,4.086
2001-01-22T00:00:00+02:00,4.085,4.155,4.0159,4.118
2001-01-29T00:00:00+02:00,4.1375,4.14,4.0225,4.03
2001-02-05T00:00:00+02:00,4.0375,4.175,4.01,4.0875
2001-02-12T00:00:00+02:00,4.0875,4.188,4.06,4.09
2001-02-19T00:00:00+02:00,4.1,4.1725,4.08,4.11
2001-02-26T00:00:00+02:00,4.1475,4.1475,3.96,3.97
