time,open,high,low,close
1983-10-03T01:00:00+03:00,39.42,39.42,39.42,39.42
1983-10-10T01:00:00+03:00,39.42,39.42,39.42,39.42
1983-10-17T01:00:00+03:00,39.42,39.42,39.42,39.42
1983-10-24T01:00:00+03:00,39.42,39.42,39.42,39.42
1983-10-31T01:00:00+03:00,39.42,39.42,38.66,38.66
1983-11-07T01:00:00+03:00,38.66,38.66,38.66,38.66
1983-11-14T01:00:00+03:00,38.66,38.66,38.66,38.66
1983-11-21T01:00:00+03:00,38.66,38.66,38.66,38.66
1983-11-28T01:00:00+03:00,38.66,38.66,38.66,38.66
1983-12-05T01:00:00+03:00,38.66,38.66,38.66,38.66
1983-12-12T01:00:00+03:00,38.66,40.2,38.66,40.2
1983-12-19T01:00:00+03:00,40.2,40.2,40.2,40.2
1983-12-26T01:00:00+03:00,40.2,40.2,40.2,40.2
1984-01-02T01:00:00+03:00,40.2,40.2,40.2,40.2
1984-01-09T01:00:00+03:00,40.2,40.2,40.2,40.2
1984-01-16T01:00:00+03:00,40.2,40.2,40.2,40.2
1984-01-23T01:00:00+03:00,40.23,40.23,40.23,40.23
1984-01-30T01:00:00+03:00,40.23,40.23,40.23,40.23
1984-02-06T01:00:00+03:00,40.23,40.23,40.23,40.23
1984-02-13T01:00:00+03:00,40.23,40.23,40.23,40.23
1984-02-20T01:00:00+03:00,40.23,40.26,40.23,40.26
1984-02-27T01:00:00+03:00,40.25,40.26,40.19,40.19
1984-03-05T01:00:00+03:00,40.18,40.18,40.14,40.14
1984-03-12T01:00:00+03:00,40.11,40.11,40.05,40.05
1984-03-19T01:00:00+03:00,40.04,40.04,39.98,39.98
1984-03-26T01:00:00+03:00,39.96,40,39.96,39.99
1984-04-02T01:00:00+03:00,39.95,39.95,39.9,39.9
1984-04-09T01:00:00+03:00,39.84,39.84,39.81,39.81
1984-04-16T01:00:00+03:00,39.78,39.78,39.73,39.73
1984-04-23T01:00:00+03:00,39.7,39.7,39.68,39.68
1984-04-30T01:00:00+03:00,39.68,39.68,39.65,39.65
1984-05-07T01:00:00+03:00,39.64,39.64,39.63,39.63
1984-05-14T01:00:00+03:00,39.64,39.68,39.64,39.68
1984-05-21T01:00:00+03:00,39.75,39.82,39.75,39.82
1984-05-28T01:00:00+03:00,39.89,39.96,39.89,39.96
1984-06-04T01:00:00+03:00,39.997,39.997,39.91,39.91
1984-06-11T01:00:00+03:00,39.86,39.86,39.74,39.76
1984-06-18T01:00:00+03:00,39.81,39.85,39.81,39.83
1984-06-25T01:00:00+03:00,39.8,39.8,39.71,39.71
1984-07-02T01:00:00+03:00,39.68,39.68,39.6,39.6
1984-07-09T01:00:00+03:00,39.56,39.56,39.43,39.51
1984-07-16T01:00:00+03:00,39.51,39.52,39.47,39.47
1984-07-23T01:00:00+03:00,39.41,39.41,39.32,39.32
1984-07-30T01:00:00+03:00,39.26,39.26,39.17,39.17
1984-08-06T01:00:00+03:00,39.11,39.11,39.08,39.08
1984-08-13T01:00:00+03:00,39.08,39.08,39.08,39.08
1984-08-20T01:00:00+03:00,39.08,39.08,39.08,39.08
1984-08-27T01:00:00+03:00,39.08,39.08,39.08,39.08
1984-09-03T01:00:00+03:00,39.08,39.08,39.08,39.08
1984-09-10T01:00:00+03:00,39.08,39.12,39.08,39.12
1984-09-17T01:00:00+03:00,39.14,39.21,39.14,39.21
1984-09-24T01:00:00+03:00,39.25,39.27,39.25,39.25
1984-10-01T01:00:00+03:00,39.21,39.21,39.12,39.12
1984-10-08T01:00:00+03:00,39.11,39.14,39.11,39.14
1984-10-15T01:00:00+03:00,39.18,39.26,39.18,39.26
1984-10-22T01:00:00+03:00,39.3,39.37,39.3,39.37
1984-10-29T01:00:00+03:00,39.35,39.35,39.28,39.28
1984-11-05T00:00:00+02:00,39.24,39.32,39.24,39.32
1984-11-12T00:00:00+02:00,39.38,39.44,39.38,39.44
1984-11-19T00:00:00+02:00,39.49,39.55,39.49,39.55
1984-11-26T00:00:00+02:00,39.5,39.53,39.48,39.53
1984-12-03T00:00:00+02:00,39.52,39.52,39.46,39.48
1984-12-10T00:00:00+02:00,39.52,39.53,39.48,39.53
1984-12-17T00:00:00+02:00,39.54,39.54,39.53,39.53
1984-12-24T00:00:00+02:00,39.51,39.54,39.51,39.54
1984-12-31T00:00:00+02:00,39.52,39.52,39.5,39.5
1985-01-07T00:00:00+02:00,39.48,39.48,39.41,39.41
1985-01-14T00:00:00+02:00,39.38,39.38,39.32,39.32
1985-01-21T00:00:00+02:00,39.26,39.26,39.2,39.2
1985-01-28T00:00:00+02:00,39.17,39.17,39.13,39.13
1985-02-04T00:00:00+02:00,39.19,39.25,39.19,39.21
1985-02-11T00:00:00+02:00,39.18,39.26,39.18,39.26
1985-02-18T00:00:00+02:00,39.27,39.27,39.27,39.27
1985-02-25T00:00:00+02:00,39.27,39.39,39.27,39.39
1985-03-04T00:00:00+02:00,39.4,39.44,39.4,39.44
1985-03-11T00:00:00+02:00,39.44,39.48,39.44,39.48
1985-03-18T00:00:00+02:00,39.57,39.7,39.57,39.7
1985-03-25T00:00:00+02:00,39.71,39.71,39.59,39.59
1985-04-01T00:00:00+02:00,39.59,39.59,39.59,39.59
1985-04-08T00:00:00+02:00,39.63,39.63,39.6,39.62
1985-04-15T00:00:00+02:00,39.63,39.76,39.63,39.76
1985-04-22T01:00:00+03:00,39.81,39.92,39.81,39.92
1985-04-29T01:00:00+03:00,39.96,39.97,39.92,39.92
1985-05-06T01:00:00+03:00,39.96,39.97,39.96,39.96
1985-05-13T01:00:00+03:00,39.97,39.97,39.9,39.93
1985-05-20T01:00:00+03:00,39.91,39.91,39.82,39.82
1985-05-27T01:00:00+03:00,39.8,39.83,39.8,39.83
1985-06-03T01:00:00+03:00,39.82,39.82,39.82,39.82
1985-06-10T01:00:00+03:00,39.82,39.82,39.82,39.82
1985-06-17T01:00:00+03:00,39.82,39.87,39.82,39.87
1985-06-24T01:00:00+03:00,39.91,40.06,39.91,40.06
1985-07-01T01:00:00+03:00,39.95,40.05,39.95,40.05
1985-07-08T01:00:00+03:00,40.05,40.11,40.05,40.07
1985-07-15T01:00:00+03:00,40.05,40.06,40.05,40.06
1985-07-22T01:00:00+03:00,40.11,40.43,40.11,40.43
1985-07-29T01:00:00+03:00,40.4,40.4,40.34,40.34
