time,open,high,low,close
1997-08-18T01:00:00+03:00,9.67,9.67,9.67,9.67
1997-08-25T01:00:00+03:00,9.7,9.7,9.7,9.7
1997-09-01T01:00:00+03:00,9.66,9.66,9.66,9.66
1997-09-08T01:00:00+03:00,9.75,9.75,9.75,9.75
1997-09-15T01:00:00+03:00,9.72,9.72,9.72,9.72
1997-09-22T01:00:00+03:00,9.77,9.77,9.77,9.77
1997-09-29T01:00:00+03:00,9.77,9.77,9.77,9.77
1997-10-06T01:00:00+03:00,9.76,9.76,9.76,9.76
1997-10-13T01:00:00+03:00,9.72,9.72,9.72,9.72
1997-10-20T01:00:00+03:00,9.76,9.76,9.76,9.76
1997-10-27T00:00:00+02:00,9.61,9.61,9.61,9.61
1997-11-03T00:00:00+02:00,9.02,9.02,9.02,9.02
1997-11-10T00:00:00+02:00,9.61,9.61,9.61,9.61
1997-11-17T00:00:00+02:00,10.02,10.02,10.02,10.02
1997-11-24T00:00:00+02:00,9.89,9.89,9.89,9.89
1997-12-01T00:00:00+02:00,9.61,9.61,9.61,9.61
1997-12-08T00:00:00+02:00,9.97,9.97,9.97,9.97
1997-12-15T00:00:00+02:00,9.98,9.98,9.98,9.98
1998-01-05T00:00:00+02:00,9.98,9.98,9.98,9.98
1998-01-12T00:00:00+02:00,9.98,9.98,9.98,9.98
1998-01-19T00:00:00+02:00,10,10,10,10
1998-01-26T00:00:00+02:00,10,10,10,10
1998-02-02T00:00:00+02:00,10,10,10,10
1998-02-09T00:00:00+02:00,10,10,10,10
1998-02-16T00:00:00+02:00,10.07,10.07,10.07,10.07
1998-02-23T00:00:00+02:00,10.09,10.09,10.09,10.09
1998-03-02T00:00:00+02:00,10.08,10.08,10.08,10.08
1998-03-09T00:00:00+02:00,10.17,10.17,10.17,10.17
1998-03-30T01:00:00+03:00,10.24,10.24,10.24,10.24
1998-04-06T01:00:00+03:00,10.24,10.24,10.24,10.24
1998-04-13T01:00:00+03:00,10.24,10.24,10.24,10.24
1998-04-20T01:00:00+03:00,10.28,10.28,10.28,10.28
1998-04-27T01:00:00+03:00,10.31,10.31,10.31,10.31
1998-05-04T01:00:00+03:00,10.31,10.31,10.31,10.31
1998-05-11T01:00:00+03:00,10.32,10.32,10.32,10.32
1998-05-18T01:00:00+03:00,10.35,10.35,10.35,10.35
1998-05-25T01:00:00+03:00,10.35,10.35,10.35,10.35
1998-06-01T01:00:00+03:00,10.36,10.36,10.36,10.36
1998-06-08T01:00:00+03:00,10.4,10.4,10.4,10.4
1998-06-15T01:00:00+03:00,10.4,10.4,10.4,10.4
1998-06-22T01:00:00+03:00,10.44,10.44,10.44,10.44
1998-06-29T01:00:00+03:00,10.48,10.48,10.48,10.48
1998-07-06T01:00:00+03:00,10.48,10.48,10.48,10.48
1998-07-13T01:00:00+03:00,10.51,10.51,10.51,10.51
1998-07-20T01:00:00+03:00,10.53,10.53,10.53,10.53
1998-07-27T01:00:00+03:00,10.53,10.53,10.53,10.53
1998-08-03T01:00:00+03:00,10.53,10.56,10.53,10.56
1998-08-10T01:00:00+03:00,10.56,10.56,10.56,10.56
1998-08-17T01:00:00+03:00,10.6,10.6,10.6,10.6
1998-08-24T01:00:00+03:00,10.65,10.65,10.65,10.65
1998-08-31T01:00:00+03:00,10.7,10.7,10.7,10.7
1998-09-07T01:00:00+03:00,10.74,10.74,10.74,10.74
1998-09-14T01:00:00+03:00,10.74,10.85,10.74,10.85
1998-09-21T01:00:00+03:00,10.85,10.85,10.85,10.85
1998-09-28T01:00:00+03:00,10.87,10.87,10.87,10.87
1998-10-05T01:00:00+03:00,10.69,10.69,10.69,10.69
1998-10-12T01:00:00+03:00,10.65,10.65,10.65,10.65
1998-10-19T01:00:00+03:00,10.7,10.7,10.7,10.7
1998-10-26T00:00:00+02:00,10.74,10.74,10.74,10.74
1998-11-02T00:00:00+02:00,10.7,10.7,10.7,10.7
1998-11-09T00:00:00+02:00,10.68,10.68,10.68,10.68
1998-11-16T00:00:00+02:00,10.68,10.68,10.68,10.68
1998-11-23T00:00:00+02:00,10.72,10.72,10.72,10.72
1998-11-30T00:00:00+02:00,10.73,10.73,10.73,10.73
1998-12-07T00:00:00+02:00,10.73,10.73,10.73,10.73
1998-12-14T00:00:00+02:00,10.77,10.77,10.77,10.77
1998-12-21T00:00:00+02:00,10.77,10.77,10.77,10.77
1998-12-28T00:00:00+02:00,10.77,10.77,10.77,10.77
1999-01-04T00:00:00+02:00,10.77,10.77,10.77,10.77
1999-01-11T00:00:00+02:00,10.84,10.84,10.84,10.84
1999-01-18T00:00:00+02:00,11.01,11.01,11.01,11.01
1999-01-25T00:00:00+02:00,11.01,11.01,11.01,11.01
1999-02-01T00:00:00+02:00,10.97,10.97,10.97,10.97
1999-02-08T00:00:00+02:00,10.93,10.93,10.93,10.93
1999-02-15T00:00:00+02:00,10.92,10.92,10.92,10.92
1999-02-22T00:00:00+02:00,10.97,10.97,10.97,10.97
1999-03-01T00:00:00+02:00,10.99,10.99,10.99,10.99
1999-03-08T00:00:00+02:00,10.92,11.06,10.92,10.95
1999-03-15T00:00:00+02:00,11.03,11.09,11.03,11.09
1999-03-22T00:00:00+02:00,11.09,11.09,11.03,11.03
1999-03-29T01:00:00+03:00,10.94,11.04,10.94,11.03
1999-04-05T01:00:00+03:00,11.03,11.09,11.02,11.02
1999-04-12T01:00:00+03:00,11.01,11.08,11.01,11.05
1999-04-19T01:00:00+03:00,11.11,11.11,11.06,11.06
1999-04-26T01:00:00+03:00,11.12,11.12,11.07,11.07
1999-05-03T01:00:00+03:00,11.07,11.13,11.05,11.06
1999-05-10T01:00:00+03:00,11.06,11.12,11.06,11.08
1999-05-17T01:00:00+03:00,11.09,11.14,11.09,11.14
1999-05-24T01:00:00+03:00,11.18,11.18,11.13,11.13
1999-05-31T01:00:00+03:00,11.19,11.19,11.15,11.16
1999-06-07T01:00:00+03:00,11.15,11.22,11.15,11.19
1999-06-14T01:00:00+03:00,11.22,11.25,11.19,11.22
1999-06-21T01:00:00+03:00,11.23,11.3,11.23,11.3
1999-06-28T01:00:00+03:00,11.32,11.38,11.31,11.32
1999-07-05T01:00:00+03:00,11.32,11.38,11.32,11.38
1999-07-12T01:00:00+03:00,11.44,11.44,11.38,11.38
1999-07-19T01:00:00+03:00,11.38,11.49,11.38,11.38
1999-07-26T01:00:00+03:00,11.38,11.49,11.38,11.38
1999-08-02T01:00:00+03:00,11.38,11.49,11.38,11.47
1999-08-09T01:00:00+03:00,11.48,11.55,11.48,11.48
1999-08-16T01:00:00+03:00,11.61,11.61,11.54,11.56
1999-08-23T01:00:00+03:00,11.58,11.65,11.58,11.59
1999-08-30T01:00:00+03:00,11.6,11.66,11.59,11.59
1999-09-06T01:00:00+03:00,11.61,11.66,11.61,11.62
1999-09-13T01:00:00+03:00,11.64,11.69,11.63,11.64
1999-09-20T01:00:00+03:00,11.64,11.71,11.64,11.68
1999-09-27T01:00:00+03:00,11.73,11.73,11.73,11.73
