time,open,high,low,close
1997-08-18T01:00:00+03:00,11692,11692,11692,11692
1997-08-25T01:00:00+03:00,11693,11693,11693,11693
1997-09-01T01:00:00+03:00,11693,11693,11693,11693
1997-09-08T01:00:00+03:00,11697,11697,11697,11697
1997-09-15T01:00:00+03:00,11701,11701,11701,11701
1997-09-22T01:00:00+03:00,11708,11708,11708,11708
1997-09-29T01:00:00+03:00,11717,11717,11717,11717
1997-10-06T01:00:00+03:00,11724,11724,11724,11724
1997-10-13T01:00:00+03:00,11732,11732,11732,11732
1997-10-20T01:00:00+03:00,11820,11820,11820,11820
1997-10-27T00:00:00+02:00,12297,12297,12297,12297
1997-11-03T00:00:00+02:00,12205,12205,12205,12205
1997-11-10T00:00:00+02:00,12297,12297,12297,12297
1997-11-17T00:00:00+02:00,12185,12185,12185,12185
1997-11-24T00:00:00+02:00,12260,12260,12260,12260
1997-12-01T00:00:00+02:00,12297,12297,12297,12297
1998-01-05T00:00:00+02:00,12292,12292,12292,12292
1998-01-12T00:00:00+02:00,12292,12292,12292,12292
1998-01-19T00:00:00+02:00,12250,12250,12250,12250
1998-01-26T00:00:00+02:00,12291,12291,12291,12291
1998-02-02T00:00:00+02:00,12290,12290,12290,12290
1998-02-09T00:00:00+02:00,12291,12291,12291,12291
1998-02-16T00:00:00+02:00,12978,12978,12978,12978
1998-02-23T00:00:00+02:00,12978,12978,12978,12978
1998-03-02T00:00:00+02:00,12976,12976,12976,12976
1998-03-09T00:00:00+02:00,12979,12979,12979,12979
1998-03-30T01:00:00+03:00,12981,12981,12981,12981
1998-04-06T01:00:00+03:00,12979,12979,12979,12979
1998-04-13T01:00:00+03:00,12988,12988,12988,12988
1998-04-20T01:00:00+03:00,12989,12989,12989,12989
1998-04-27T01:00:00+03:00,12682,12682,12682,12682
1998-05-04T01:00:00+03:00,12985,12985,12985,12985
1998-05-11T01:00:00+03:00,12981,12981,12981,12981
1998-05-18T01:00:00+03:00,12982,12982,12982,12982
1998-05-25T01:00:00+03:00,12981,12981,12981,12981
1998-06-01T01:00:00+03:00,12983,12983,12983,12983
1998-06-08T01:00:00+03:00,12986,12986,12986,12986
1998-06-15T01:00:00+03:00,12985,12985,12985,12985
1998-06-22T01:00:00+03:00,12985,12985,12985,12985
1998-06-29T01:00:00+03:00,12987,12987,12987,12987
1998-07-06T01:00:00+03:00,12984,12984,12984,12984
1998-07-13T01:00:00+03:00,12987,12987,12987,12987
1998-07-20T01:00:00+03:00,12990,12990,12990,12990
1998-07-27T01:00:00+03:00,12992,12992,12992,12992
1998-08-03T01:00:00+03:00,12992,13875,12987,13875
1998-08-10T01:00:00+03:00,13902,13902,13902,13902
1998-08-17T01:00:00+03:00,13907,13907,13900,13900
1998-08-24T01:00:00+03:00,13907,13907,12900,13900
1998-08-31T01:00:00+03:00,13900,13908,13900,13908
1998-09-07T01:00:00+03:00,13908,13908,13908,13908
1998-09-14T01:00:00+03:00,13908,13908,13908,13908
1998-09-21T01:00:00+03:00,13908,13908,13908,13908
1998-09-28T01:00:00+03:00,13900,13900,13900,13900
1998-10-05T01:00:00+03:00,13904,13904,13900,13900
1998-10-12T01:00:00+03:00,13900,13904,13900,13904
1998-10-19T01:00:00+03:00,13904,13904,13904,13904
1998-10-26T00:00:00+02:00,13906,13906,13906,13906
1998-11-02T00:00:00+02:00,13900,13906,13900,13906
1998-11-09T00:00:00+02:00,13899,13899,13899,13899
1998-11-16T00:00:00+02:00,13897,13897,13897,13897
1998-11-23T00:00:00+02:00,13887,13887,13887,13887
1998-11-30T00:00:00+02:00,13886,13886,13886,13886
1998-12-07T00:00:00+02:00,13894,13894,13894,13894
1998-12-14T00:00:00+02:00,13895,13895,13895,13895
1998-12-21T00:00:00+02:00,13893,13893,13893,13893
1998-12-28T00:00:00+02:00,13890,13900,13890,13900
1999-01-04T00:00:00+02:00,13900,13900,13900,13900
1999-01-11T00:00:00+02:00,13886,13900,13886,13900
1999-01-18T00:00:00+02:00,13885,13885,13885,13885
1999-01-25T00:00:00+02:00,13885,13885,13885,13885
1999-02-01T00:00:00+02:00,13880,13880,13880,13880
1999-02-08T00:00:00+02:00,13878,13878,13878,13878
1999-02-15T00:00:00+02:00,13881,13881,13881,13881
1999-02-22T00:00:00+02:00,13882,13882,13882,13882
1999-03-01T00:00:00+02:00,13892,13892,13892,13892
1999-03-08T00:00:00+02:00,13898,13898,13755,13820
1999-03-15T00:00:00+02:00,13811,13901,13811,13820
1999-03-22T00:00:00+02:00,13820,13820,13820,13820
1999-03-29T01:00:00+03:00,13820,13903,13820,13820
1999-04-05T01:00:00+03:00,13820,13902,13820,13820
1999-04-12T01:00:00+03:00,13820,13906,13820,13900
1999-04-19T01:00:00+03:00,13906,13906,13820,13820
1999-04-26T01:00:00+03:00,13900,13900,13820,13820
1999-05-03T01:00:00+03:00,13820,13909,13820,13820
1999-05-10T01:00:00+03:00,13820,13909,13820,13820
1999-05-17T01:00:00+03:00,13909,13909,13909,13909
1999-05-24T01:00:00+03:00,13914,13914,13820,13820
1999-05-31T01:00:00+03:00,13915,13915,13820,13820
1999-06-07T01:00:00+03:00,13820,13914,13820,13820
1999-06-14T01:00:00+03:00,13914,13914,13820,13820
1999-06-21T01:00:00+03:00,13820,13917,13820,13820
1999-06-28T01:00:00+03:00,13820,13927,13820,13854
1999-07-05T01:00:00+03:00,13856,13936,13856,13861
1999-07-12T01:00:00+03:00,13943,13943,13865,13866
1999-07-19T01:00:00+03:00,13865,13949,13865,13869
1999-07-26T01:00:00+03:00,13871,13951,13871,13872
1999-08-02T01:00:00+03:00,13900,13948,13874,13880
1999-08-09T01:00:00+03:00,13900,13955,13883,13884
1999-08-16T01:00:00+03:00,13959,13959,13885,13886
1999-08-23T01:00:00+03:00,13887,13956,13887,13888
1999-08-30T01:00:00+03:00,13891,13962,13891,13891
1999-09-06T01:00:00+03:00,13894,13963,13894,13897
1999-09-13T01:00:00+03:00,13900,13970,13898,13902
1999-09-20T01:00:00+03:00,13900,13973,13900,13914
1999-09-27T01:00:00+03:00,13994,13994,13994,13994
1999-10-04T01:00:00+03:00,13995,13995,13995,13995
1999-10-11T01:00:00+03:00,13998,13998,13998,13998
